Date,Joueurs,Mise,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,grilles,pay1,pay2,pay3,pay4,pay5,pay6,payout
2024-02-01,107667.0,594410.0,0.0,0.0,0.0,0.0,11.0,96.6,486.0,40.4,7306.0,5.3,42665.0,2.5,237764,0.0,0.0,1062.6,19634.399999999998,38721.799999999996,106662.5,166081.3
2024-02-05,100456.0,547290.0,0.0,0.0,0.0,0.0,11.0,88.0,508.0,35.3,7195.0,4.5,40856.0,2.5,218916,0.0,0.0,968.0,17932.399999999998,32377.5,102140.0,153417.9
2024-02-08,97113.0,530780.0,0.0,0.0,0.0,0.0,15.0,120.8,518.0,44.2,7024.0,5.6,38123.0,2.5,212312,0.0,0.0,1812.0,22895.600000000002,39334.399999999994,95307.5,159349.5
2024-02-12,92403.0,501315.0,0.0,0.0,1.0,120000.0,15.0,72.1,518.0,33.9,6712.0,4.6,36820.0,2.5,200526,0.0,120000.0,1081.5,17560.2,30875.199999999997,92050.0,261566.90000000002
2024-02-15,95612.0,517647.5,0.0,0.0,0.0,0.0,11.0,76.1,511.0,32.3,7017.0,4.4,39175.0,2.5,207059,0.0,0.0,837.0999999999999,16505.3,30874.800000000003,97937.5,146154.7
2024-02-19,94610.0,514732.5,0.0,0.0,0.0,0.0,9.0,149.3,463.0,47.9,6084.0,5.8,36405.0,2.5,205893,0.0,0.0,1343.7,22177.7,35287.2,91012.5,149821.1
2024-02-22,100464.0,552322.5,0.0,0.0,0.0,0.0,12.0,101.9,539.0,37.4,7144.0,5.1,40833.0,2.5,220929,0.0,0.0,1222.8000000000002,20158.6,36434.399999999994,102082.5,159898.3
2024-02-26,99812.0,547102.5,0.0,0.0,0.0,0.0,11.0,88.0,516.0,39.6,6837.0,5.2,39577.0,2.5,218841,0.0,0.0,968.0,20433.600000000002,35552.4,98942.5,155896.5
2024-02-29,103683.0,573805.0,0.0,0.0,0.0,0.0,12.0,126.1,477.0,42.3,7314.0,5.4,42555.0,2.5,229522,0.0,0.0,1513.1999999999998,20177.1,39495.600000000006,106387.5,167573.40000000002
2024-03-04,108557.0,576962.5,0.0,0.0,0.0,0.0,11.0,107.4,494.0,43.8,7094.0,5.3,41731.0,2.5,230785,0.0,0.0,1181.4,21637.199999999997,37598.2,104327.5,164744.3
2024-03-07,117495.0,588627.5,0.0,0.0,0.0,0.0,13.0,98.4,526.0,41.5,7132.0,5.5,41501.0,2.5,235451,0.0,0.0,1279.2,21829.0,39226.0,103752.5,166086.7
2024-03-11,115421.0,575107.5,0.0,0.0,0.0,0.0,10.0,118.5,466.0,40.9,6946.0,5.5,41568.0,2.5,230043,0.0,0.0,1185.0,19059.399999999998,38203.0,103920.0,162367.4
2024-03-14,108373.0,546065.0,0.0,0.0,0.0,0.0,17.0,75.7,477.0,34.4,7245.0,4.6,41058.0,2.5,218426,0.0,0.0,1286.9,16408.8,33327.0,102645.0,153667.7
2024-03-18,108097.0,551980.0,0.0,0.0,0.0,0.0,8.0,94.9,431.0,37.0,6928.0,4.7,41162.0,2.5,220792,0.0,0.0,759.2,15947.0,32561.600000000002,102905.0,152172.8
2024-03-21,104858.0,551250.0,0.0,0.0,0.0,0.0,11.0,107.1,502.0,43.8,6961.0,5.4,40057.0,2.5,220500,0.0,0.0,1178.1,21987.6,37589.4,100142.5,160897.6
2024-03-25,102121.0,535005.0,0.0,0.0,0.0,0.0,15.0,68.9,542.0,30.8,7323.0,4.3,40335.0,2.5,214002,0.0,0.0,1033.5,16693.600000000002,31488.899999999998,100837.5,150053.5
2024-03-28,101611.0,539767.5,0.0,0.0,0.0,0.0,17.0,81.9,529.0,31.4,7320.0,4.2,40042.0,2.5,215907,0.0,0.0,1392.3000000000002,16610.6,30744.0,100105.0,148851.9
2024-04-01,97472.0,505605.0,0.0,0.0,0.0,0.0,11.0,83.3,458.0,38.2,6542.0,5.1,36847.0,2.5,202242,0.0,0.0,916.3,17495.600000000002,33364.2,92117.5,143893.6
2024-04-04,91625.0,493820.0,0.0,0.0,0.0,0.0,10.0,104.1,516.0,36.3,6512.0,4.9,36813.0,2.5,197528,0.0,0.0,1041.0,18730.8,31908.800000000003,92032.5,143713.1
2024-04-08,88412.0,473722.5,0.0,0.0,0.0,0.0,14.0,91.3,447.0,42.6,5919.0,5.6,33976.0,2.5,189489,0.0,0.0,1278.2,19042.2,33146.4,84940.0,138406.8
2024-04-11,86459.0,463080.0,0.0,0.0,0.0,0.0,10.0,135.0,388.0,48.8,5494.0,6.0,32503.0,2.5,185232,0.0,0.0,1350.0,18934.399999999998,32964.0,81257.5,134505.9
2024-04-15,85719.0,454945.0,0.0,0.0,0.0,0.0,16.0,86.4,381.0,38.2,5487.0,5.3,31864.0,2.5,181978,0.0,0.0,1382.4,14554.2,29081.1,79660.0,124677.7
2024-04-18,82921.0,442085.0,0.0,0.0,0.0,0.0,13.0,84.1,447.0,36.7,5948.0,4.8,32661.0,2.5,176834,0.0,0.0,1093.3,16404.9,28550.399999999998,81652.5,127701.1
2024-04-22,84465.0,450940.0,0.0,0.0,1.0,120000.0,8.0,137.7,341.0,52.9,4766.0,6.3,30763.0,2.5,180376,0.0,120000.0,1101.6,18038.899999999998,30025.8,76907.5,246073.8
2024-04-25,87251.0,467445.0,0.0,0.0,0.0,0.0,10.0,109.4,386.0,40.1,5806.0,5.0,33781.0,2.5,186978,0.0,0.0,1094.0,15478.6,29030.0,84452.5,130055.1
2024-04-29,87611.0,469002.5,0.0,0.0,0.0,0.0,7.0,94.9,403.0,44.4,5563.0,5.8,32918.0,2.5,187601,0.0,0.0,664.3000000000001,17893.2,32265.399999999998,82295.0,133117.9
2024-05-02,87023.0,467765.0,0.0,0.0,0.0,0.0,8.0,104.3,428.0,38.2,5935.0,5.2,33428.0,2.5,187106,0.0,0.0,834.4,16349.6,30862.0,83570.0,131616.0
2024-05-06,88506.0,470715.0,0.0,0.0,0.0,0.0,4.0,105.5,356.0,41.3,5841.0,5.2,33629.0,2.5,188286,0.0,0.0,422.0,14702.8,30373.2,84072.5,129570.5
2024-05-09,81064.0,427397.5,0.0,0.0,0.0,0.0,15.0,73.8,347.0,29.1,5366.0,3.9,32221.0,2.5,170959,0.0,0.0,1107.0,10097.7,20927.399999999998,80552.5,112684.6
2024-05-13,84331.0,449172.5,0.0,0.0,0.0,0.0,4.0,171.9,357.0,50.3,5144.0,5.9,31795.0,2.5,179669,0.0,0.0,687.6,17957.1,30349.600000000002,79487.5,128481.8
2024-05-16,86299.0,458602.5,0.0,0.0,0.0,0.0,7.0,91.7,402.0,32.4,5983.0,4.2,34417.0,2.5,183441,0.0,0.0,641.9,13024.8,25128.600000000002,86042.5,124837.8
2024-05-20,76196.0,398895.0,0.0,0.0,0.0,0.0,12.0,110.3,352.0,34.3,5329.0,4.6,30161.0,2.5,159558,0.0,0.0,1323.6,12073.599999999999,24513.399999999998,75402.5,113313.1
2024-05-23,86079.0,462330.0,0.0,0.0,0.0,0.0,8.0,67.3,486.0,23.7,6378.0,3.4,36283.0,2.5,184932,0.0,0.0,538.4,11518.199999999999,21685.2,90707.5,124449.3
2024-05-27,82521.0,442920.0,0.0,0.0,0.0,0.0,13.0,60.6,432.0,27.1,5737.0,3.8,33572.0,2.5,177168,0.0,0.0,787.8000000000001,11707.2,21800.6,83930.0,118225.6
2024-05-30,84869.0,456787.5,0.0,0.0,0.0,0.0,10.0,90.6,412.0,36.9,5818.0,4.7,33680.0,2.5,182715,0.0,0.0,906.0,15202.8,27344.600000000002,84200.0,127653.4
2024-06-03,84277.0,450415.0,0.0,0.0,0.0,0.0,8.0,111.7,357.0,47.3,5337.0,6.0,31475.0,2.5,180166,0.0,0.0,893.6,16886.1,32022.0,78687.5,128489.2
2024-06-06,81671.0,436697.5,0.0,0.0,0.0,0.0,10.0,112.2,384.0,41.0,5475.0,5.3,32447.0,2.5,174679,0.0,0.0,1122.0,15744.0,29017.5,81117.5,127001.0
2024-06-10,81032.0,432912.5,0.0,0.0,0.0,0.0,10.0,100.7,384.0,36.6,5738.0,4.7,31944.0,2.5,173165,0.0,0.0,1007.0,14054.400000000001,26968.600000000002,79860.0,121890.0
2024-06-13,81201.0,430915.0,0.0,0.0,0.0,0.0,9.0,89.5,382.0,34.9,5578.0,4.5,33424.0,2.5,172366,0.0,0.0,805.5,13331.8,25101.0,83560.0,122798.3
2024-06-17,79964.0,423377.5,0.0,0.0,0.0,0.0,3.0,113.4,338.0,40.7,4813.0,5.3,30293.0,2.5,169351,0.0,0.0,340.20000000000005,13756.6,25508.899999999998,75732.5,115338.2
2024-06-20,79049.0,419617.5,0.0,0.0,1.0,120000.0,18.0,56.7,487.0,24.4,6258.0,3.5,32818.0,2.5,167847,0.0,120000.0,1020.6,11882.8,21903.0,82045.0,236851.4
2024-06-24,80032.0,424840.0,0.0,0.0,0.0,0.0,8.0,74.7,409.0,30.9,5542.0,4.3,31914.0,2.5,169936,0.0,0.0,597.6,12638.099999999999,23830.6,79785.0,116851.29999999999
2024-06-27,79867.0,425972.5,0.0,0.0,0.0,0.0,11.0,96.2,413.0,32.0,5818.0,4.4,31750.0,2.5,170389,0.0,0.0,1058.2,13216.0,25599.2,79375.0,119248.4
2024-07-01,75346.0,396252.5,0.0,0.0,0.0,0.0,9.0,97.8,381.0,37.3,5507.0,5.0,29647.0,2.5,158501,0.0,0.0,880.1999999999999,14211.3,27535.0,74117.5,116744.0
2024-07-04,75031.0,395995.0,0.0,0.0,0.0,0.0,15.0,100.0,393.0,32.9,5336.0,4.3,29729.0,2.5,158398,0.0,0.0,1500.0,12929.699999999999,22944.8,74322.5,111697.0
2024-07-08,74225.0,389652.5,0.0,0.0,1.0,120000.0,7.0,88.4,383.0,37.5,5116.0,4.9,29136.0,2.5,155861,0.0,120000.0,618.8000000000001,14362.5,25068.4,72840.0,232889.69999999998
2024-07-11,75959.0,397790.0,0.0,0.0,0.0,0.0,5.0,123.4,390.0,39.5,5235.0,5.1,29940.0,2.5,159116,0.0,0.0,617.0,15405.0,26698.499999999996,74850.0,117570.5
2024-07-15,72280.0,378172.5,0.0,0.0,0.0,0.0,9.0,104.4,325.0,34.9,5219.0,4.4,28937.0,2.5,151269,0.0,0.0,939.6,11342.5,22963.600000000002,72342.5,107588.20000000001
2024-07-18,71195.0,373675.0,0.0,0.0,0.0,0.0,4.0,107.1,374.0,43.0,4758.0,5.7,27139.0,2.5,149470,0.0,0.0,428.4,16082.0,27120.600000000002,67847.5,111478.5
2024-07-22,68469.0,357935.0,0.0,0.0,0.0,0.0,4.0,67.3,368.0,29.1,5109.0,3.9,28007.0,2.5,143174,0.0,0.0,269.2,10708.800000000001,19925.1,70017.5,100920.6
2024-07-25,69235.0,363060.0,0.0,0.0,0.0,0.0,14.0,100.5,350.0,41.9,4644.0,5.6,26083.0,2.5,145224,0.0,0.0,1407.0,14665.0,26006.399999999998,65207.5,107285.9
2024-07-29,67717.0,353720.0,0.0,0.0,0.0,0.0,14.0,71.7,380.0,30.0,4771.0,4.3,26184.0,2.5,141488,0.0,0.0,1003.8000000000001,11400.0,20515.3,65460.0,98379.1
2024-08-01,71621.0,371745.0,0.0,0.0,0.0,0.0,4.0,141.6,274.0,47.9,4238.0,5.6,26150.0,2.5,148698,0.0,0.0,566.4,13124.6,23732.8,65375.0,102798.8
2024-08-05,73583.0,378275.0,0.0,0.0,0.0,0.0,11.0,91.3,314.0,38.7,4783.0,5.1,27640.0,2.5,151310,0.0,0.0,1004.3,12151.800000000001,24393.3,69100.0,106649.4
2024-08-08,73943.0,380200.0,0.0,0.0,0.0,0.0,16.0,78.7,395.0,31.7,5132.0,4.1,29081.0,2.5,152080,0.0,0.0,1259.2,12521.5,21041.199999999997,72702.5,107524.4
2024-08-12,72502.0,370810.0,0.0,0.0,0.0,0.0,10.0,54.9,419.0,26.7,5310.0,3.8,28663.0,2.5,148324,0.0,0.0,549.0,11187.3,20178.0,71657.5,103571.8
2024-08-15,71061.0,356090.0,0.0,0.0,0.0,0.0,6.0,154.4,285.0,55.6,4047.0,6.8,24182.0,2.5,142436,0.0,0.0,926.4000000000001,15846.0,27519.6,60455.0,104747.0
