label,k,mise,p_au_moins_1_gain,p_ge_4_bons,p_rentre_mise,p_gain_gt_mise,EV,TRJ,mediane_gain,q90
4 grilles JOUEUR (19 numeros),4,10.0,0.6237918080023344,0.008982956351377403,0.022977401924770345,0.010608642187589556,4.318280107753792,0.43182801077537925,2.5,5.0
4 grilles DISJOINTES (24 numeros),4,10.0,0.7016137016137016,0.008982956351377403,0.009608220134535925,0.008982956351377403,4.318280107753792,0.43182801077537925,2.5,5.0
