Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2025-12-31;393050;783826,50;0;0,00;0;20000,00;11;2.000,00;93;200,00;933;20,00;9447;5,00;94744;2,00;43597;1,50
2025-12-30;119819;235258,50;0;0,00;1;20000,00;4;2.000,00;31;200,00;285;20,00;2765;5,00;28271;2,00;12898;1,50
2025-12-29;29801;62242,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;72;20,00;773;5,00;7460;2,00;3366;1,50
2025-12-28;4043;13203,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;19;20,00;154;5,00;1532;2,00;696;1,50
2025-12-27;194228;363411,00;0;0,00;0;20000,00;7;2.000,00;35;200,00;417;20,00;4436;5,00;44006;2,00;20972;1,50
2025-12-26;143954;283006,50;0;0,00;0;20000,00;6;2.000,00;33;200,00;347;20,00;3421;5,00;34093;2,00;16294;1,50
2025-12-25;26345;54900,00;0;0,00;0;20000,00;2;2.000,00;7;200,00;65;20,00;672;5,00;6621;2,00;2973;1,50
2025-12-24;363350;706660,50;0;0,00;0;20000,00;4;2.000,00;77;200,00;855;20,00;8545;5,00;84109;2,00;39093;1,50
2025-12-23;124203;243283,50;0;0,00;0;20000,00;2;2.000,00;30;200,00;324;20,00;2843;5,00;29138;2,00;13861;1,50
2025-12-22;29171;60390,00;0;0,00;0;20000,00;1;2.000,00;5;200,00;64;20,00;771;5,00;7264;2,00;3483;1,50
2025-12-21;4045;13675,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;19;20,00;146;5,00;1612;2,00;723;1,50
2025-12-20;222585;414204,00;0;0,00;0;20000,00;4;2.000,00;49;200,00;492;20,00;4936;5,00;49731;2,00;22545;1,50
2025-12-19;151578;289135,50;0;0,00;1;20000,00;4;2.000,00;38;200,00;378;20,00;3514;5,00;34924;2,00;16453;1,50
2025-12-18;26616;54600,00;0;0,00;0;20000,00;0;2.000,00;7;200,00;81;20,00;689;5,00;6578;2,00;3155;1,50
2025-12-17;156887;301236,00;0;0,00;1;20000,00;4;2.000,00;31;200,00;348;20,00;3673;5,00;36413;2,00;17085;1,50
2025-12-16;106198;205678,50;0;0,00;0;20000,00;3;2.000,00;23;200,00;257;20,00;2523;5,00;25100;2,00;11508;1,50
2025-12-15;27670;56460,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;59;20,00;707;5,00;6543;2,00;2813;1,50
2025-12-14;3852;12414,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;5;20,00;141;5,00;1499;2,00;712;1,50
2025-12-13;208006;381712,50;0;0,00;0;20000,00;8;2.000,00;56;200,00;443;20,00;4633;5,00;46120;2,00;21380;1,50
2025-12-12;149539;284259,00;0;0,00;0;20000,00;4;2.000,00;33;200,00;334;20,00;3338;5,00;34408;2,00;15230;1,50
2025-12-11;28246;58119,00;0;0,00;0;20000,00;0;2.000,00;11;200,00;72;20,00;695;5,00;6785;2,00;2831;1,50
2025-12-10;142058;268657,50;0;0,00;1;20000,00;3;2.000,00;30;200,00;354;20,00;3210;5,00;32446;2,00;13794;1,50
2025-12-09;141995;282652,50;0;0,00;1;20000,00;3;2.000,00;45;200,00;381;20,00;3452;5,00;33787;2,00;17163;1,50
2025-12-08;29510;60580,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;76;20,00;694;5,00;7345;2,00;3455;1,50
2025-12-07;4072;13459,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;24;20,00;145;5,00;1728;2,00;782;1,50
2025-12-06;202291;370555,50;0;0,00;0;20000,00;3;2.000,00;47;200,00;456;20,00;4438;5,00;44565;2,00;21141;1,50
2025-12-05;231874;462013,50;0;0,00;0;20000,00;3;2.000,00;65;200,00;537;20,00;5572;5,00;55752;2,00;25525;1,50
2025-12-04;28993;59776,50;0;0,00;0;20000,00;2;2.000,00;11;200,00;71;20,00;691;5,00;7129;2,00;3311;1,50
2025-12-03;132463;250350,00;0;0,00;0;20000,00;3;2.000,00;30;200,00;290;20,00;2993;5,00;29444;2,00;13425;1,50
2025-12-02;109070;212608,50;0;0,00;0;20000,00;0;2.000,00;29;200,00;249;20,00;2594;5,00;25719;2,00;11726;1,50
2025-12-01;31149;63718,50;0;0,00;0;20000,00;1;2.000,00;12;200,00;71;20,00;803;5,00;7672;2,00;3546;1,50
2025-11-30;4059;13323,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;8;20,00;174;5,00;1665;2,00;773;1,50
2025-11-29;205211;377773,50;0;0,00;0;20000,00;3;2.000,00;27;200,00;473;20,00;4542;5,00;45469;2,00;21571;1,50
2025-11-28;200431;395568,00;0;0,00;0;20000,00;3;2.000,00;45;200,00;485;20,00;4726;5,00;47672;2,00;21551;1,50
2025-11-27;27709;57180,00;0;0,00;0;20000,00;1;2.000,00;4;200,00;84;20,00;669;5,00;6730;2,00;3163;1,50
2025-11-26;120127;225514,50;0;0,00;0;20000,00;3;2.000,00;27;200,00;281;20,00;2614;5,00;26827;2,00;12124;1,50
2025-11-25;134021;266053,50;0;0,00;0;20000,00;3;2.000,00;40;200,00;337;20,00;3272;5,00;31932;2,00;14669;1,50
2025-11-24;28622;58467,00;0;0,00;0;20000,00;1;2.000,00;4;200,00;78;20,00;665;5,00;6946;2,00;3214;1,50
2025-11-23;4037;13125,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;12;20,00;153;5,00;1595;2,00;879;1,50
2025-11-22;189318;342784,50;0;0,00;1;20000,00;8;2.000,00;46;200,00;424;20,00;4161;5,00;41641;2,00;17783;1,50
2025-11-21;174633;340069,50;0;0,00;0;20000,00;2;2.000,00;42;200,00;388;20,00;4235;5,00;40604;2,00;18978;1,50
2025-11-20;26769;54327,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;75;20,00;612;5,00;6749;2,00;3090;1,50
2025-11-19;121737;228777,00;1;800000,00;0;20000,00;1;2.000,00;25;200,00;255;20,00;2733;5,00;27552;2,00;12985;1,50
2025-11-18;128865;255880,50;0;0,00;1;20000,00;1;2.000,00;30;200,00;283;20,00;3174;5,00;30643;2,00;13992;1,50
2025-11-17;29614;61302,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;76;20,00;751;5,00;7268;2,00;3928;1,50
