Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2024-12-30;79086;417345.00;0;0.00;0;0.00;6;72.70;394;33.40;5524;4.50;31237;2.50
2024-12-26;71702;372597.50;0;0.00;0;0.00;9;93.90;455;37.70;5127;5.00;27590;2.50
2024-12-23;77750;409660.00;0;0.00;0;0.00;13;81.30;314;43.10;5038;5.50;29570;2.50
2024-12-19;75529;392292.50;0;0.00;0;0.00;7;89.20;322;36.90;4971;4.50;29398;2.50
2024-12-16;76667;398382.50;0;0.00;0;0.00;4;110.30;334;35.70;4945;4.60;29122;2.50
2024-12-12;74094;381902.50;0;0.00;0;0.00;8;90.00;412;31.30;5626;4.20;29488;2.50
2024-12-09;74919;387480.00;0;0.00;0;0.00;7;99.30;297;41.80;4562;5.40;27186;2.50
2024-12-05;75244;389080.00;0;0.00;0;0.00;10;86.60;347;35.90;5252;4.70;29271;2.50
2024-12-02;79131;404387.50;0;0.00;0;0.00;12;88.50;396;35.40;5080;5.00;29308;2.50
2024-11-28;90071;459897.50;0;0.00;0;0.00;9;128.60;360;48.60;5393;6.10;32633;2.50
2024-11-25;98890;497587.50;0;0.00;0;0.00;11;58.50;605;25.40;7209;3.70;38694;2.50
2024-11-21;88764;445850.00;0;0.00;0;0.00;8;164.00;348;51.90;5129;6.20;31733;2.50
2024-11-18;90154;454490.00;0;0.00;0;0.00;17;68.40;447;29.40;6176;4.10;34433;2.50
2024-11-14;86628;441105.00;0;0.00;0;0.00;8;166.90;308;54.20;5034;6.50;31034;2.50
2024-11-11;82603;413647.50;0;0.00;0;0.00;4;119.60;344;40.20;5096;5.10;30489;2.50
2024-11-07;80027;418557.50;0;0.00;0;0.00;17;113.30;337;44.10;4797;5.60;29112;2.50
2024-11-04;72834;371572.50;0;0.00;0;0.00;3;202.10;282;65.00;4013;7.60;23916;2.50
2024-10-31;91812;468477.50;0;0.00;0;0.00;12;81.90;480;35.30;6312;4.80;34672;2.50
2024-10-28;85223;424620.00;0;0.00;0;0.00;7;48.10;424;22.60;5915;3.40;32845;2.50
2024-10-24;86730;434432.50;0;0.00;0;0.00;8;103.10;353;38.30;5463;4.90;32420;2.50
2024-10-21;86059;429052.50;0;0.00;0;0.00;6;137.10;358;47.50;5125;5.70;30978;2.50
2024-10-17;90446;446412.50;0;0.00;0;0.00;13;97.10;342;43.60;5277;5.80;31049;2.50
2024-10-14;101169;485245.00;0;0.00;0;0.00;11;105.00;419;37.50;6138;5.00;35782;2.50
2024-10-10;97422;473617.50;0;0.00;0;0.00;5;115.60;397;40.50;5851;5.10;34235;2.50
2024-10-07;102392;484590.00;0;0.00;0;0.00;39;43.50;490;38.40;5945;5.50;34104;2.50
2024-10-03;87256;434180.00;0;0.00;0;0.00;8;103.40;398;38.40;5506;5.00;31788;2.50
2024-09-30;77880;404305.00;0;0.00;0;0.00;12;105.20;371;35.80;5247;4.80;29999;2.50
2024-09-26;75062;391067.50;0;0.00;0;0.00;9;125.20;309;44.70;4507;5.70;27978;2.50
2024-09-23;76350;395375.00;0;0.00;0;0.00;6;120.20;320;49.00;4432;5.80;27735;2.50
2024-09-19;73610;380832.50;0;0.00;1;120000.00;4;112.80;284;48.50;4518;5.70;27290;2.50
2024-09-16;75006;391830.00;0;0.00;0;0.00;7;148.20;337;46.10;5029;5.60;28230;2.50
2024-09-12;74018;382112.50;0;0.00;0;0.00;3;171.80;253;61.10;4051;7.40;25119;2.50
2024-09-09;80808;418365.00;0;0.00;0;0.00;22;34.70;584;22.80;6274;3.70;32510;2.50
2024-09-05;78872;408295.00;0;0.00;1;120000.00;14;92.90;385;40.30;5043;5.20;29337;2.50
2024-09-02;81486;422825.00;0;0.00;0;0.00;9;93.20;338;43.30;5200;5.60;30295;2.50
2024-08-29;80332;418855.00;0;0.00;0;0.00;8;138.10;344;44.70;5135;5.40;30199;2.50
2024-08-26;79065;410302.50;0;0.00;0;0.00;18;105.20;317;41.00;5335;5.00;30556;2.50
2024-08-22;79314;410347.50;0;0.00;0;0.00;10;112.40;358;41.60;5040;5.50;29836;2.50
2024-08-19;81107;415600.00;0;0.00;0;0.00;10;82.00;385;35.60;5342;4.90;30179;2.50
2024-08-15;71061;356090.00;0;0.00;0;0.00;6;154.40;285;55.60;4047;6.80;24182;2.50
2024-08-12;72502;370810.00;0;0.00;0;0.00;10;54.90;419;26.70;5310;3.80;28663;2.50
2024-08-08;73943;380200.00;0;0.00;0;0.00;16;78.70;395;31.70;5132;4.10;29081;2.50
2024-08-05;73583;378275.00;0;0.00;0;0.00;11;91.30;314;38.70;4783;5.10;27640;2.50
2024-08-01;71621;371745.00;0;0.00;0;0.00;4;141.60;274;47.90;4238;5.60;26150;2.50
2024-07-29;67717;353720.00;0;0.00;0;0.00;14;71.70;380;30.00;4771;4.30;26184;2.50
2024-07-25;69235;363060.00;0;0.00;0;0.00;14;100.50;350;41.90;4644;5.60;26083;2.50
2024-07-22;68469;357935.00;0;0.00;0;0.00;4;67.30;368;29.10;5109;3.90;28007;2.50
2024-07-18;71195;373675.00;0;0.00;0;0.00;4;107.10;374;43.00;4758;5.70;27139;2.50
2024-07-15;72280;378172.50;0;0.00;0;0.00;9;104.40;325;34.90;5219;4.40;28937;2.50
2024-07-11;75959;397790.00;0;0.00;0;0.00;5;123.40;390;39.50;5235;5.10;29940;2.50
2024-07-08;74225;389652.50;0;0.00;1;120000.00;7;88.40;383;37.50;5116;4.90;29136;2.50
2024-07-04;75031;395995.00;0;0.00;0;0.00;15;100.00;393;32.90;5336;4.30;29729;2.50
2024-07-01;75346;396252.50;0;0.00;0;0.00;9;97.80;381;37.30;5507;5.00;29647;2.50
2024-06-27;79867;425972.50;0;0.00;0;0.00;11;96.20;413;32.00;5818;4.40;31750;2.50
2024-06-24;80032;424840.00;0;0.00;0;0.00;8;74.70;409;30.90;5542;4.30;31914;2.50
2024-06-20;79049;419617.50;0;0.00;1;120000.00;18;56.70;487;24.40;6258;3.50;32818;2.50
2024-06-17;79964;423377.50;0;0.00;0;0.00;3;113.40;338;40.70;4813;5.30;30293;2.50
2024-06-13;81201;430915.00;0;0.00;0;0.00;9;89.50;382;34.90;5578;4.50;33424;2.50
2024-06-10;81032;432912.50;0;0.00;0;0.00;10;100.70;384;36.60;5738;4.70;31944;2.50
2024-06-06;81671;436697.50;0;0.00;0;0.00;10;112.20;384;41.00;5475;5.30;32447;2.50
2024-06-03;84277;450415.00;0;0.00;0;0.00;8;111.70;357;47.30;5337;6.00;31475;2.50
2024-05-30;84869;456787.50;0;0.00;0;0.00;10;90.60;412;36.90;5818;4.70;33680;2.50
2024-05-27;82521;442920.00;0;0.00;0;0.00;13;60.60;432;27.10;5737;3.80;33572;2.50
2024-05-23;86079;462330.00;0;0.00;0;0.00;8;67.30;486;23.70;6378;3.40;36283;2.50
2024-05-20;76196;398895.00;0;0.00;0;0.00;12;110.30;352;34.30;5329;4.60;30161;2.50
2024-05-16;86299;458602.50;0;0.00;0;0.00;7;91.70;402;32.40;5983;4.20;34417;2.50
2024-05-13;84331;449172.50;0;0.00;0;0.00;4;171.90;357;50.30;5144;5.90;31795;2.50
2024-05-09;81064;427397.50;0;0.00;0;0.00;15;73.80;347;29.10;5366;3.90;32221;2.50
2024-05-06;88506;470715.00;0;0.00;0;0.00;4;105.50;356;41.30;5841;5.20;33629;2.50
2024-05-02;87023;467765.00;0;0.00;0;0.00;8;104.30;428;38.20;5935;5.20;33428;2.50
2024-04-29;87611;469002.50;0;0.00;0;0.00;7;94.90;403;44.40;5563;5.80;32918;2.50
2024-04-25;87251;467445.00;0;0.00;0;0.00;10;109.40;386;40.10;5806;5.00;33781;2.50
2024-04-22;84465;450940.00;0;0.00;1;120000.00;8;137.70;341;52.90;4766;6.30;30763;2.50
2024-04-18;82921;442085.00;0;0.00;0;0.00;13;84.10;447;36.70;5948;4.80;32661;2.50
2024-04-15;85719;454945.00;0;0.00;0;0.00;16;86.40;381;38.20;5487;5.30;31864;2.50
2024-04-11;86459;463080.00;0;0.00;0;0.00;10;135.00;388;48.80;5494;6.00;32503;2.50
2024-04-08;88412;473722.50;0;0.00;0;0.00;14;91.30;447;42.60;5919;5.60;33976;2.50
2024-04-04;91625;493820.00;0;0.00;0;0.00;10;104.10;516;36.30;6512;4.90;36813;2.50
2024-04-01;97472;505605.00;0;0.00;0;0.00;11;83.30;458;38.20;6542;5.10;36847;2.50
2024-03-28;101611;539767.50;0;0.00;0;0.00;17;81.90;529;31.40;7320;4.20;40042;2.50
2024-03-25;102121;535005.00;0;0.00;0;0.00;15;68.90;542;30.80;7323;4.30;40335;2.50
2024-03-21;104858;551250.00;0;0.00;0;0.00;11;107.10;502;43.80;6961;5.40;40057;2.50
2024-03-18;108097;551980.00;0;0.00;0;0.00;8;94.90;431;37.00;6928;4.70;41162;2.50
2024-03-14;108373;546065.00;0;0.00;0;0.00;17;75.70;477;34.40;7245;4.60;41058;2.50
2024-03-11;115421;575107.50;0;0.00;0;0.00;10;118.50;466;40.90;6946;5.50;41568;2.50
2024-03-07;117495;588627.50;0;0.00;0;0.00;13;98.40;526;41.50;7132;5.50;41501;2.50
2024-03-04;108557;576962.50;0;0.00;0;0.00;11;107.40;494;43.80;7094;5.30;41731;2.50
2024-02-29;103683;573805.00;0;0.00;0;0.00;12;126.10;477;42.30;7314;5.40;42555;2.50
2024-02-26;99812;547102.50;0;0.00;0;0.00;11;88.00;516;39.60;6837;5.20;39577;2.50
2024-02-22;100464;552322.50;0;0.00;0;0.00;12;101.90;539;37.40;7144;5.10;40833;2.50
2024-02-19;94610;514732.50;0;0.00;0;0.00;9;149.30;463;47.90;6084;5.80;36405;2.50
2024-02-15;95612;517647.50;0;0.00;0;0.00;11;76.10;511;32.30;7017;4.40;39175;2.50
2024-02-12;92403;501315.00;0;0.00;1;120000.00;15;72.10;518;33.90;6712;4.60;36820;2.50
2024-02-08;97113;530780.00;0;0.00;0;0.00;15;120.80;518;44.20;7024;5.60;38123;2.50
2024-02-05;100456;547290.00;0;0.00;0;0.00;11;88.00;508;35.30;7195;4.50;40856;2.50
2024-02-01;107667;594410.00;0;0.00;0;0.00;11;96.60;486;40.40;7306;5.30;42665;2.50
2024-01-29;102294;560865.00;0;0.00;0;0.00;14;106.70;467;41.90;7042;5.30;41006;2.50
2024-01-25;101623;559382.50;0;0.00;0;0.00;8;117.40;424;48.90;6731;5.60;41380;2.50
2024-01-22;100629;552417.50;0;0.00;0;0.00;7;127.90;399;48.70;6237;6.20;38420;2.50
2024-01-18;101078;556687.50;0;0.00;0;0.00;12;81.60;578;34.50;7150;4.80;41027;2.50
2024-01-15;105845;583177.50;0;0.00;0;0.00;10;106.50;538;40.60;7121;5.30;41685;2.50
2024-01-11;105714;588110.00;0;0.00;1;120000.00;11;109.70;443;41.50;7244;5.30;42974;2.50
2024-01-08;102711;568937.50;0;0.00;0;0.00;5;75.50;518;32.00;7280;4.50;41153;2.50
2024-01-04;107557;598255.00;0;0.00;0;0.00;8;125.30;426;47.50;7321;5.80;42906;2.50
2024-01-01;113237;636827.50;0;0.00;0;0.00;16;115.30;618;41.70;7985;5.50;45700;2.50
