Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2024-12-31;340255;685843,50;0;0,00;0;20000,00;7;2.000,00;83;200,00;810;20,00;8289;5,00;82296;2,00;37586;1,50
2024-12-30;23423;50637,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;53;20,00;618;5,00;6050;2,00;2706;1,50
2024-12-29;3951;12727,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;17;20,00;151;5,00;1548;2,00;636;1,50
2024-12-28;184620;334512,00;0;0,00;0;20000,00;4;2.000,00;38;200,00;417;20,00;4017;5,00;40005;2,00;17986;1,50
2024-12-27;137116;262866,00;0;0,00;0;20000,00;3;2.000,00;29;200,00;294;20,00;3161;5,00;31355;2,00;14276;1,50
2024-12-26;21515;46807,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;51;20,00;571;5,00;5646;2,00;2701;1,50
2024-12-25;126690;239874,00;0;0,00;0;20000,00;8;2.000,00;36;200,00;303;20,00;2932;5,00;28807;2,00;13269;1,50
2024-12-24;305362;601821,00;0;0,00;0;20000,00;7;2.000,00;77;200,00;768;20,00;7249;5,00;72106;2,00;33394;1,50
2024-12-23;23194;50263,50;0;0,00;0;20000,00;1;2.000,00;10;200,00;45;20,00;632;5,00;5964;2,00;2842;1,50
2024-12-22;4143;13567,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;23;20,00;166;5,00;1586;2,00;818;1,50
2024-12-21;185171;332673,00;0;0,00;1;20000,00;4;2.000,00;52;200,00;394;20,00;4054;5,00;40085;2,00;19564;1,50
2024-12-20;143366;269793,00;0;0,00;0;20000,00;3;2.000,00;24;200,00;306;20,00;3292;5,00;32423;2,00;14597;1,50
2024-12-19;21964;46237,50;0;0,00;0;20000,00;2;2.000,00;3;200,00;56;20,00;522;5,00;5565;2,00;2397;1,50
2024-12-18;119013;220032,00;0;0,00;1;20000,00;3;2.000,00;27;200,00;260;20,00;2611;5,00;26501;2,00;11751;1,50
2024-12-17;111645;217341,00;0;0,00;0;20000,00;3;2.000,00;36;200,00;277;20,00;2649;5,00;26235;2,00;13179;1,50
2024-12-16;22005;45504,00;0;0,00;0;20000,00;1;2.000,00;3;200,00;54;20,00;581;5,00;5481;2,00;2497;1,50
2024-12-15;3844;12411,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;169;5,00;1567;2,00;644;1,50
2024-12-14;185458;333367,50;0;0,00;1;20000,00;5;2.000,00;33;200,00;388;20,00;3849;5,00;39821;2,00;18208;1,50
2024-12-13;362658;703806,00;0;0,00;0;20000,00;11;2.000,00;69;200,00;867;20,00;8355;5,00;84965;2,00;39083;1,50
2024-12-12;21353;44380,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;48;20,00;565;5,00;5295;2,00;2444;1,50
2024-12-11;117980;218277,00;0;0,00;1;20000,00;1;2.000,00;16;200,00;259;20,00;2700;5,00;26343;2,00;12642;1,50
2024-12-10;108936;210727,50;0;0,00;0;20000,00;2;2.000,00;21;200,00;268;20,00;2404;5,00;24894;2,00;11982;1,50
2024-12-09;21585;44889,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;51;20,00;566;5,00;5532;2,00;2545;1,50
2024-12-08;3747;11892,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;12;20,00;132;5,00;1402;2,00;603;1,50
2024-12-07;186472;335242,50;0;0,00;0;20000,00;5;2.000,00;43;200,00;387;20,00;4107;5,00;40623;2,00;20704;1,50
2024-12-06;151408;287640,00;0;0,00;0;20000,00;4;2.000,00;28;200,00;353;20,00;3512;5,00;34088;2,00;17223;1,50
2024-12-05;21708;45919,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;48;20,00;577;5,00;5530;2,00;2787;1,50
2024-12-04;126069;235132,50;0;0,00;0;20000,00;10;2.000,00;30;200,00;280;20,00;2867;5,00;28453;2,00;12736;1,50
2024-12-03;105138;200830,50;0;0,00;1;20000,00;0;2.000,00;18;200,00;254;20,00;2329;5,00;23942;2,00;11263;1,50
2024-12-02;22442;46917,00;0;0,00;0;20000,00;0;2.000,00;9;200,00;52;20,00;590;5,00;5577;2,00;2602;1,50
2024-12-01;3885;12339,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;13;20,00;144;5,00;1519;2,00;645;1,50
