Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2021-12-31;362073;673336,50;0;0,00;0;20000,00;9;2.000,00;87;200,00;817;20,00;8070;5,00;80755;2,00;36294;1,50
2021-12-30;5186;17946,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;23;20,00;218;5,00;2095;2,00;1016;1,50
2021-12-29;130009;239259,00;0;0,00;0;20000,00;5;2.000,00;27;200,00;272;20,00;2969;5,00;28521;2,00;12470;1,50
2021-12-28;111522;212770,50;0;0,00;1;20000,00;3;2.000,00;34;200,00;243;20,00;2564;5,00;25131;2,00;12286;1,50
2021-12-27;4584;15480,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;25;20,00;162;5,00;1922;2,00;782;1,50
2021-12-26;3643;11302,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;16;20,00;128;5,00;1353;2,00;587;1,50
2021-12-25;189915;337827,00;1;400000,00;0;20000,00;1;2.000,00;38;200,00;415;20,00;4067;5,00;41017;2,00;18987;1,50
2021-12-24;319981;585562,50;0;0,00;0;20000,00;4;2.000,00;83;200,00;745;20,00;7212;5,00;70247;2,00;35827;1,50
2021-12-23;5013;17430,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;19;20,00;203;5,00;2070;2,00;858;1,50
2021-12-22;127148;231819,00;0;0,00;1;20000,00;1;2.000,00;20;200,00;269;20,00;2818;5,00;27698;2,00;12749;1,50
2021-12-21;109740;205752,00;0;0,00;1;20000,00;4;2.000,00;23;200,00;237;20,00;2504;5,00;24849;2,00;11254;1,50
2021-12-20;4497;14833,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;26;20,00;182;5,00;1884;2,00;834;1,50
2021-12-19;3746;11710,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;18;20,00;165;5,00;1413;2,00;619;1,50
2021-12-18;198055;348921,00;0;0,00;1;20000,00;7;2.000,00;45;200,00;402;20,00;4219;5,00;41773;2,00;18123;1,50
2021-12-17;148260;271254,00;0;0,00;0;20000,00;0;2.000,00;37;200,00;339;20,00;3247;5,00;32505;2,00;14302;1,50
2021-12-16;4664;15858,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;18;20,00;183;5,00;1912;2,00;869;1,50
2021-12-15;122865;224586,00;0;0,00;0;20000,00;4;2.000,00;30;200,00;268;20,00;2638;5,00;26945;2,00;12695;1,50
2021-12-14;103409;192976,50;0;0,00;0;20000,00;2;2.000,00;20;200,00;250;20,00;2371;5,00;23412;2,00;10479;1,50
2021-12-13;5130;17148,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;15;20,00;218;5,00;2139;2,00;890;1,50
2021-12-12;4532;14715,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;18;20,00;201;5,00;1819;2,00;834;1,50
2021-12-11;194819;345808,50;0;0,00;0;20000,00;5;2.000,00;40;200,00;448;20,00;4062;5,00;41171;2,00;18816;1,50
2021-12-10;146944;275478,00;1;1800000,00;0;20000,00;4;2.000,00;19;200,00;317;20,00;3329;5,00;33067;2,00;15111;1,50
2021-12-09;6759;25269,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;29;20,00;292;5,00;3033;2,00;1375;1,50
2021-12-08;149569;280404,00;0;0,00;0;20000,00;2;2.000,00;36;200,00;343;20,00;3377;5,00;33865;2,00;16106;1,50
2021-12-07;144432;278734,50;0;0,00;0;20000,00;4;2.000,00;25;200,00;353;20,00;3319;5,00;33311;2,00;17170;1,50
2021-12-06;6039;21063,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;21;20,00;229;5,00;2533;2,00;1149;1,50
2021-12-05;5018;17149,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;26;20,00;193;5,00;2052;2,00;970;1,50
2021-12-04;215059;388807,50;0;0,00;0;20000,00;3;2.000,00;49;200,00;465;20,00;4536;5,00;47244;2,00;21999;1,50
2021-12-03;303077;570775,50;0;0,00;1;20000,00;10;2.000,00;85;200,00;714;20,00;6884;5,00;68352;2,00;31486;1,50
2021-12-02;6457;23683,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;23;20,00;256;5,00;2840;2,00;1371;1,50
2021-12-01;125876;233700,00;0;0,00;0;20000,00;5;2.000,00;31;200,00;268;20,00;2741;5,00;28251;2,00;12927;1,50
2021-11-30;103845;197146,50;0;0,00;0;20000,00;3;2.000,00;26;200,00;226;20,00;2336;5,00;23636;2,00;11050;1,50
2021-11-29;5802;21072,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;37;20,00;253;5,00;2502;2,00;1161;1,50
