Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2014-12-31;296583;539821,50;0;1925000,00;0;20000,00;3;2.000,00;39;200,00;703;20,00;6529;5,00;65182;2,00;30283;1,50
2014-12-30;102067;188437,50;0;1925000,00;0;20000,00;2;2.000,00;24;200,00;234;20,00;2264;5,00;22435;2,00;10073;1,50
2014-12-27;221800;387456,00;0;1850000,00;0;20000,00;5;2.000,00;54;200,00;457;20,00;4620;5,00;46104;2,00;20878;1,50
2014-12-26;127797;226731,00;0;1850000,00;0;20000,00;3;2.000,00;28;200,00;290;20,00;2769;5,00;27290;2,00;12463;1,50
2014-12-24;266666;484569,00;0;1850000,00;0;20000,00;6;2.000,00;56;200,00;588;20,00;5797;5,00;58186;2,00;25707;1,50
2014-12-23;96936;177229,50;0;1850000,00;0;20000,00;4;2.000,00;20;200,00;194;20,00;2119;5,00;21389;2,00;11070;1,50
2014-12-20;233525;405084,00;0;1775000,00;0;20000,00;9;2.000,00;43;200,00;463;20,00;4930;5,00;48753;2,00;20975;1,50
2014-12-19;140419;247281,00;0;1775000,00;0;20000,00;4;2.000,00;32;200,00;274;20,00;3000;5,00;29797;2,00;14089;1,50
2014-12-17;121087;219829,50;0;1775000,00;0;20000,00;2;2.000,00;20;200,00;286;20,00;2644;5,00;26543;2,00;11990;1,50
2014-12-16;89616;163699,50;0;1775000,00;0;20000,00;1;2.000,00;23;200,00;180;20,00;1925;5,00;19453;2,00;9244;1,50
2014-12-13;230016;398232,00;0;1700000,00;0;20000,00;3;2.000,00;36;200,00;466;20,00;4858;5,00;47938;2,00;21627;1,50
2014-12-12;141742;249948,00;0;1700000,00;1;20000,00;4;2.000,00;24;200,00;281;20,00;3025;5,00;29927;2,00;13251;1,50
2014-12-10;118983;216475,50;0;1700000,00;0;20000,00;1;2.000,00;23;200,00;282;20,00;2613;5,00;25983;2,00;12727;1,50
2014-12-09;90153;164733,00;0;1700000,00;0;20000,00;2;2.000,00;17;200,00;217;20,00;1904;5,00;19763;2,00;8897;1,50
2014-12-06;231103;400380,00;0;1625000,00;0;20000,00;6;2.000,00;41;200,00;463;20,00;4671;5,00;47921;2,00;21688;1,50
2014-12-05;144485;254226,00;0;1625000,00;0;20000,00;3;2.000,00;29;200,00;297;20,00;2961;5,00;30476;2,00;14859;1,50
2014-12-03;133275;241206,00;0;1625000,00;0;20000,00;2;2.000,00;27;200,00;285;20,00;3000;5,00;28875;2,00;14389;1,50
2014-12-02;105340;191166,00;0;1625000,00;1;20000,00;1;2.000,00;22;200,00;243;20,00;2198;5,00;22798;2,00;10617;1,50
2014-11-29;241637;419137,50;0;1550000,00;0;20000,00;6;2.000,00;43;200,00;519;20,00;5052;5,00;50362;2,00;25644;1,50
2014-11-28;153199;270289,50;0;1550000,00;1;20000,00;6;2.000,00;25;200,00;314;20,00;3263;5,00;32746;2,00;14719;1,50
2014-11-26;123062;222988,50;0;1550000,00;1;20000,00;1;2.000,00;26;200,00;270;20,00;2636;5,00;26792;2,00;12590;1,50
2014-11-25;92774;168826,50;0;1550000,00;0;20000,00;0;2.000,00;22;200,00;211;20,00;2049;5,00;20461;2,00;9244;1,50
2014-11-22;231064;399648,00;0;1475000,00;0;20000,00;6;2.000,00;48;200,00;468;20,00;4731;5,00;47890;2,00;21232;1,50
2014-11-21;145307;254905,50;0;1475000,00;0;20000,00;5;2.000,00;28;200,00;305;20,00;3155;5,00;30670;2,00;13955;1,50
2014-11-19;120253;217561,50;0;1475000,00;0;20000,00;6;2.000,00;26;200,00;243;20,00;2670;5,00;26020;2,00;11840;1,50
