Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2012-12-31;219314;398829,00;0;950000,00;1;20000,00;1;2.000,00;56;200,00;497;20,00;4755;5,00;48034;2,00;21790;1,50
2012-12-29;258583;443322,00;0;875000,00;0;20000,00;4;2.000,00;59;200,00;558;20,00;5364;5,00;53020;2,00;23731;1,50
2012-12-28;151538;261898,50;0;875000,00;0;20000,00;5;2.000,00;34;200,00;327;20,00;3153;5,00;31437;2,00;14163;1,50
2012-12-26;128068;229372,50;0;875000,00;0;20000,00;2;2.000,00;34;200,00;248;20,00;2826;5,00;27322;2,00;13630;1,50
2012-12-25;76326;134563,50;0;875000,00;0;20000,00;1;2.000,00;21;200,00;138;20,00;1671;5,00;16137;2,00;7483;1,50
2012-12-24;172657;316503,00;0;875000,00;1;20000,00;4;2.000,00;44;200,00;409;20,00;3708;5,00;37720;2,00;16657;1,50
2012-12-22;268440;459468,00;0;800000,00;0;20000,00;6;2.000,00;48;200,00;562;20,00;5375;5,00;55046;2,00;24780;1,50
2012-12-21;177459;306589,50;0;800000,00;0;20000,00;6;2.000,00;37;200,00;377;20,00;3604;5,00;37206;2,00;18941;1,50
2012-12-19;134013;238290,00;0;800000,00;0;20000,00;1;2.000,00;29;200,00;284;20,00;2958;5,00;28562;2,00;12547;1,50
2012-12-18;99613;176877,00;0;800000,00;0;20000,00;0;2.000,00;23;200,00;227;20,00;2116;5,00;21291;2,00;10250;1,50
2012-12-15;261802;447327,00;0;725000,00;0;20000,00;7;2.000,00;72;200,00;541;20,00;5327;5,00;53668;2,00;26068;1,50
2012-12-14;159733;275086,50;0;725000,00;0;20000,00;1;2.000,00;29;200,00;315;20,00;3256;5,00;32715;2,00;15398;1,50
2012-12-12;137470;243510,00;0;725000,00;0;20000,00;2;2.000,00;32;200,00;315;20,00;2892;5,00;29084;2,00;13030;1,50
2012-12-11;95603;169662,00;0;725000,00;0;20000,00;2;2.000,00;12;200,00;202;20,00;1970;5,00;20254;2,00;8847;1,50
2012-12-08;265642;453315,00;0;650000,00;2;20000,00;5;2.000,00;57;200,00;524;20,00;5382;5,00;54451;2,00;24865;1,50
2012-12-07;154583;266037,00;0;650000,00;0;20000,00;4;2.000,00;46;200,00;341;20,00;3221;5,00;31866;2,00;13589;1,50
2012-12-05;128974;229339,50;0;650000,00;0;20000,00;1;2.000,00;29;200,00;284;20,00;2752;5,00;27634;2,00;12267;1,50
2012-12-04;91869;162385,50;0;650000,00;1;20000,00;3;2.000,00;26;200,00;189;20,00;1998;5,00;19535;2,00;9402;1,50
2012-12-01;276862;472861,50;0;575000,00;0;20000,00;7;2.000,00;43;200,00;532;20,00;5809;5,00;56492;2,00;28233;1,50
2012-11-30;155843;266880,00;0;575000,00;0;20000,00;3;2.000,00;33;200,00;316;20,00;3214;5,00;32119;2,00;13583;1,50
2012-11-28;135184;239754,00;0;575000,00;0;20000,00;1;2.000,00;25;200,00;277;20,00;2866;5,00;28888;2,00;13495;1,50
2012-11-27;87693;154914,00;0;575000,00;0;20000,00;2;2.000,00;14;200,00;198;20,00;1790;5,00;18559;2,00;8880;1,50
2012-11-24;263894;449782,50;0;500000,00;0;20000,00;4;2.000,00;67;200,00;537;20,00;5235;5,00;53784;2,00;26259;1,50
2012-11-23;146227;250548,00;0;500000,00;0;20000,00;2;2.000,00;43;200,00;311;20,00;3107;5,00;30189;2,00;14050;1,50
2012-11-21;125277;222619,50;0;500000,00;0;20000,00;3;2.000,00;28;200,00;260;20,00;2654;5,00;26794;2,00;12126;1,50
2012-11-20;85289;151197,00;0;500000,00;1;20000,00;1;2.000,00;17;200,00;174;20,00;1761;5,00;18199;2,00;8598;1,50
2012-11-17;270851;462810,00;0;425000,00;0;20000,00;5;2.000,00;64;200,00;543;20,00;5507;5,00;55727;2,00;25916;1,50
2012-11-16;149565;257083,50;0;425000,00;0;20000,00;5;2.000,00;37;200,00;333;20,00;3050;5,00;31277;2,00;13206;1,50
2012-11-14;135529;240100,50;0;425000,00;0;20000,00;1;2.000,00;25;200,00;238;20,00;2975;5,00;28724;2,00;12613;1,50
2012-11-13;141079;249103,50;0;425000,00;0;20000,00;3;2.000,00;28;200,00;326;20,00;2866;5,00;29823;2,00;15167;1,50
2012-11-10;263964;450102,00;0;350000,00;0;20000,00;4;2.000,00;60;200,00;542;20,00;5273;5,00;53962;2,00;25071;1,50
2012-11-09;199727;344767,50;0;350000,00;0;20000,00;2;2.000,00;51;200,00;411;20,00;4158;5,00;41059;2,00;18127;1,50
2012-11-07;125773;223539,00;0;350000,00;0;20000,00;3;2.000,00;30;200,00;255;20,00;2670;5,00;26785;2,00;11584;1,50
2012-11-06;126347;223131,00;0;350000,00;0;20000,00;1;2.000,00;21;200,00;254;20,00;2668;5,00;26725;2,00;11992;1,50
2012-11-03;253920;433663,50;0;275000,00;0;20000,00;5;2.000,00;62;200,00;546;20,00;5257;5,00;51876;2,00;20713;1,50
2012-11-02;169520;292524,00;0;275000,00;0;20000,00;3;2.000,00;37;200,00;347;20,00;3416;5,00;35180;2,00;16656;1,50
2012-10-31;132105;233388,00;0;275000,00;0;20000,00;7;2.000,00;29;200,00;297;20,00;2816;5,00;27822;2,00;11219;1,50
2012-10-30;107410;190116,00;0;275000,00;0;20000,00;1;2.000,00;20;200,00;226;20,00;2256;5,00;22857;2,00;10769;1,50
2012-10-27;257349;438712,50;0;200000,00;0;20000,00;6;2.000,00;52;200,00;529;20,00;5273;5,00;52253;2,00;25626;1,50
