Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2016-12-31;405461;714864,00;0;0,00;0;20000,00;13;2.000,00;86;200,00;847;20,00;8557;5,00;85397;2,00;40299;1,50
2016-12-30;143988;254887,50;0;0,00;0;20000,00;1;2.000,00;32;200,00;283;20,00;3075;5,00;30500;2,00;15335;1,50
2016-12-29;4365;14529,00;0;0,00;0;20000,00;1;2.000,00;1;200,00;15;20,00;180;5,00;1864;2,00;753;1,50
2016-12-28;132715;238884,00;0;0,00;0;20000,00;3;2.000,00;34;200,00;289;20,00;2809;5,00;28754;2,00;13791;1,50
2016-12-27;88757;161871,00;0;0,00;1;20000,00;3;2.000,00;18;200,00;176;20,00;2001;5,00;19222;2,00;8779;1,50
2016-12-26;4043;13741,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;13;20,00;158;5,00;1648;2,00;710;1,50
2016-12-25;3282;10425,00;0;0,00;0;20000,00;1;2.000,00;0;200,00;10;20,00;134;5,00;1192;2,00;618;1,50
2016-12-24;362927;641683,50;1;2500000,00;0;20000,00;6;2.000,00;75;200,00;770;20,00;7694;5,00;76890;2,00;34020;1,50
2016-12-23;145696;260814,00;0;0,00;0;20000,00;3;2.000,00;29;200,00;334;20,00;3106;5,00;31254;2,00;14716;1,50
2016-12-22;5231;18900,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;27;20,00;247;5,00;2202;2,00;995;1,50
2016-12-21;130649;237723,00;0;0,00;1;20000,00;2;2.000,00;31;200,00;285;20,00;2850;5,00;28748;2,00;11763;1,50
2016-12-20;99346;184315,50;0;0,00;0;20000,00;4;2.000,00;21;200,00;226;20,00;2201;5,00;21731;2,00;10149;1,50
2016-12-19;4924;17838,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;24;20,00;217;5,00;2256;2,00;991;1,50
2016-12-18;3703;12334,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;12;20,00;155;5,00;1467;2,00;672;1,50
2016-12-17;226633;396760,50;0;0,00;0;20000,00;7;2.000,00;49;200,00;461;20,00;4671;5,00;48362;2,00;24616;1,50
2016-12-16;143364;258523,50;0;0,00;0;20000,00;3;2.000,00;35;200,00;313;20,00;3128;5,00;31119;2,00;14203;1,50
2016-12-15;7441;27889,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;31;20,00;313;5,00;3322;2,00;1425;1,50
2016-12-14;126059;229189,50;0;0,00;0;20000,00;2;2.000,00;20;200,00;283;20,00;2678;5,00;27318;2,00;12562;1,50
2016-12-13;94411;174261,00;0;0,00;0;20000,00;4;2.000,00;10;200,00;195;20,00;2155;5,00;21037;2,00;9760;1,50
2016-12-12;4913;17694,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;20;20,00;205;5,00;2010;2,00;1034;1,50
2016-12-11;3674;12214,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;136;5,00;1574;2,00;631;1,50
2016-12-10;222803;390304,50;0;0,00;0;20000,00;4;2.000,00;49;200,00;464;20,00;4727;5,00;46684;2,00;22253;1,50
2016-12-09;138839;248773,50;0;0,00;0;20000,00;3;2.000,00;22;200,00;329;20,00;3055;5,00;30269;2,00;13424;1,50
2016-12-08;5285;18882,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;31;20,00;226;5,00;2160;2,00;1076;1,50
2016-12-07;122307;223807,50;0;0,00;0;20000,00;3;2.000,00;36;200,00;298;20,00;2617;5,00;26840;2,00;11812;1,50
2016-12-06;91107;168133,50;0;0,00;0;20000,00;0;2.000,00;22;200,00;189;20,00;2017;5,00;20173;2,00;9497;1,50
2016-12-05;5092;18586,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;24;20,00;210;5,00;2296;2,00;1046;1,50
2016-12-04;3751;12199,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;21;20,00;142;5,00;1526;2,00;688;1,50
2016-12-03;224407;393009,00;0;0,00;0;20000,00;4;2.000,00;46;200,00;448;20,00;4738;5,00;47261;2,00;21982;1,50
2016-12-02;142113;254061,00;0;0,00;0;20000,00;1;2.000,00;48;200,00;277;20,00;3155;5,00;30451;2,00;14758;1,50
2016-12-01;5304;19578,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;22;20,00;233;5,00;2478;2,00;1016;1,50
2016-11-30;124503;227262,00;0;0,00;0;20000,00;1;2.000,00;23;200,00;280;20,00;2763;5,00;27189;2,00;12133;1,50
2016-11-29;90656;167350,50;0;0,00;0;20000,00;1;2.000,00;22;200,00;206;20,00;2021;5,00;20021;2,00;9439;1,50
2016-11-28;4809;17008,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;15;20,00;199;5,00;2098;2,00;952;1,50
2016-11-27;3580;12001,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;14;20,00;142;5,00;1497;2,00;766;1,50
2016-11-26;248919;437736,00;0;0,00;0;20000,00;3;2.000,00;49;200,00;567;20,00;5358;5,00;52370;2,00;26209;1,50
