Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2017-12-31;175953;325642,50;0;0,00;0;20000,00;6;2.000,00;34;200,00;395;20,00;3874;5,00;39057;2,00;17874;1,50
2017-12-30;223286;388701,00;0;0,00;1;20000,00;7;2.000,00;45;200,00;538;20,00;4725;5,00;46642;2,00;22613;1,50
2017-12-29;150565;269295,00;0;0,00;0;20000,00;4;2.000,00;28;200,00;299;20,00;3145;5,00;32024;2,00;14935;1,50
2017-12-28;4741;15991,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;29;20,00;215;5,00;1895;2,00;828;1,50
2017-12-27;112842;203374,50;0;0,00;0;20000,00;3;2.000,00;26;200,00;245;20,00;2364;5,00;24248;2,00;12744;1,50
2017-12-26;89738;165171,00;0;0,00;1;20000,00;1;2.000,00;28;200,00;207;20,00;1991;5,00;20025;2,00;9265;1,50
2017-12-25;3468;11202,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;8;20,00;128;5,00;1370;2,00;592;1,50
2017-12-24;135191;247485,00;0;0,00;0;20000,00;4;2.000,00;41;200,00;321;20,00;2948;5,00;30112;2,00;13421;1,50
2017-12-23;221318;384186,00;0;0,00;1;20000,00;9;2.000,00;54;200,00;484;20,00;4713;5,00;45828;2,00;20950;1,50
2017-12-22;149659;265698,00;0;0,00;0;20000,00;3;2.000,00;39;200,00;325;20,00;3106;5,00;31888;2,00;14732;1,50
2017-12-21;4459;14688,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;12;20,00;163;5,00;1777;2,00;814;1,50
2017-12-20;117448;209799,00;0;0,00;0;20000,00;2;2.000,00;19;200,00;254;20,00;2529;5,00;25124;2,00;11560;1,50
2017-12-19;128183;234609,00;0;0,00;0;20000,00;6;2.000,00;21;200,00;240;20,00;2773;5,00;28303;2,00;12245;1,50
2017-12-18;3919;12057,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;17;20,00;136;5,00;1437;2,00;606;1,50
2017-12-17;3039;9058,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;13;20,00;105;5,00;1049;2,00;585;1,50
2017-12-16;210133;362307,00;0;0,00;0;20000,00;3;2.000,00;43;200,00;398;20,00;4364;5,00;43369;2,00;22596;1,50
2017-12-15;174998;312844,50;0;0,00;1;20000,00;5;2.000,00;48;200,00;368;20,00;3767;5,00;37607;2,00;16990;1,50
2017-12-14;4107;13399,50;0;0,00;0;20000,00;1;2.000,00;0;200,00;18;20,00;169;5,00;1677;2,00;743;1,50
2017-12-13;113273;202854,00;0;0,00;0;20000,00;2;2.000,00;17;200,00;238;20,00;2504;5,00;24493;2,00;10996;1,50
2017-12-12;118648;216550,50;0;0,00;0;20000,00;3;2.000,00;21;200,00;255;20,00;2565;5,00;25973;2,00;12310;1,50
2017-12-11;3786;11724,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;16;20,00;150;5,00;1456;2,00;613;1,50
2017-12-10;2993;8817,00;0;0,00;0;20000,00;1;2.000,00;0;200,00;9;20,00;95;5,00;1065;2,00;462;1,50
2017-12-09;209151;360786,00;0;0,00;0;20000,00;5;2.000,00;46;200,00;412;20,00;4351;5,00;43395;2,00;19699;1,50
2017-12-08;173108;307633,50;0;0,00;1;20000,00;6;2.000,00;32;200,00;348;20,00;3682;5,00;36960;2,00;15924;1,50
2017-12-07;4190;13602,00;0;0,00;0;20000,00;1;2.000,00;5;200,00;19;20,00;183;5,00;1690;2,00;702;1,50
2017-12-06;116304;207099,00;0;0,00;0;20000,00;5;2.000,00;25;200,00;249;20,00;2523;5,00;24985;2,00;13108;1,50
2017-12-05;119477;216711,00;0;0,00;0;20000,00;2;2.000,00;23;200,00;252;20,00;2567;5,00;25780;2,00;12303;1,50
2017-12-04;4182;13305,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;15;20,00;161;5,00;1555;2,00;865;1,50
2017-12-03;3072;9058,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;20;20,00;108;5,00;1047;2,00;485;1,50
2017-12-02;208861;360337,50;0;0,00;0;20000,00;2;2.000,00;47;200,00;434;20,00;4247;5,00;43003;2,00;20899;1,50
2017-12-01;161836;287329,50;0;0,00;0;20000,00;2;2.000,00;41;200,00;359;20,00;3391;5,00;34316;2,00;15744;1,50
2017-11-30;4196;13705,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;16;20,00;150;5,00;1626;2,00;783;1,50
2017-11-29;114949;204922,50;0;0,00;0;20000,00;3;2.000,00;27;200,00;236;20,00;2552;5,00;24567;2,00;11781;1,50
2017-11-28;109503;199578,00;0;0,00;0;20000,00;1;2.000,00;19;200,00;267;20,00;2458;5,00;23850;2,00;11259;1,50
2017-11-27;8071;24135,00;0;0,00;0;20000,00;1;2.000,00;4;200,00;31;20,00;291;5,00;2948;2,00;1260;1,50
2017-11-26;2986;8668,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;6;20,00;96;5,00;1022;2,00;456;1,50
2017-11-25;215145;371032,50;0;0,00;0;20000,00;6;2.000,00;49;200,00;433;20,00;4459;5,00;44546;2,00;20074;1,50
