Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2022-12-31;430037;843241,50;0;0,00;0;20000,00;7;2.000,00;104;200,00;1093;20,00;10168;5,00;101561;2,00;47938;1,50
2022-12-30;153623;300168,00;0;0,00;0;20000,00;1;2.000,00;44;200,00;381;20,00;3579;5,00;35931;2,00;17042;1,50
2022-12-29;7554;31231,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;41;20,00;399;5,00;3766;2,00;1706;1,50
2022-12-28;129916;252909,00;0;0,00;0;20000,00;3;2.000,00;39;200,00;303;20,00;2960;5,00;30477;2,00;13941;1,50
2022-12-27;107615;224338,50;0;0,00;0;20000,00;1;2.000,00;20;200,00;252;20,00;2777;5,00;26953;2,00;11999;1,50
2022-12-26;6728;27354,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;31;20,00;312;5,00;3370;2,00;1492;1,50
2022-12-25;5624;21972,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;29;20,00;284;5,00;2761;2,00;1165;1,50
2022-12-24;369325;700102,50;0;0,00;0;20000,00;10;2.000,00;90;200,00;842;20,00;8312;5,00;84044;2,00;40014;1,50
2022-12-23;152446;294255,00;0;0,00;0;20000,00;5;2.000,00;27;200,00;359;20,00;3424;5,00;35349;2,00;16460;1,50
2022-12-22;6936;27625,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;33;20,00;339;5,00;3273;2,00;1475;1,50
2022-12-21;129723;249690,00;0;0,00;0;20000,00;2;2.000,00;22;200,00;324;20,00;2960;5,00;30182;2,00;14287;1,50
2022-12-20;107612;214332,00;0;0,00;0;20000,00;3;2.000,00;19;200,00;270;20,00;2601;5,00;25624;2,00;13022;1,50
2022-12-19;6513;25192,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;25;20,00;306;5,00;3014;2,00;1360;1,50
2022-12-18;5328;19455,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;22;20,00;250;5,00;2310;2,00;1062;1,50
2022-12-17;195070;356296,50;0;0,00;1;20000,00;5;2.000,00;36;200,00;424;20,00;4229;5,00;42534;2,00;20506;1,50
2022-12-16;142947;274114,50;0;0,00;0;20000,00;1;2.000,00;27;200,00;339;20,00;3278;5,00;32728;2,00;15343;1,50
2022-12-15;7042;27781,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;28;20,00;338;5,00;3262;2,00;1559;1,50
2022-12-14;136477;268086,00;0;0,00;0;20000,00;5;2.000,00;39;200,00;309;20,00;3147;5,00;31736;2,00;13714;1,50
2022-12-13;104624;208398,00;0;0,00;0;20000,00;1;2.000,00;27;200,00;257;20,00;2570;5,00;24954;2,00;11215;1,50
2022-12-12;7229;28519,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;44;20,00;353;5,00;3375;2,00;1680;1,50
2022-12-11;5667;21061,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;23;20,00;255;5,00;2485;2,00;1140;1,50
2022-12-10;195660;361753,50;0;0,00;0;20000,00;4;2.000,00;55;200,00;403;20,00;4365;5,00;43341;2,00;20449;1,50
2022-12-09;147211;286413,00;0;0,00;0;20000,00;0;2.000,00;34;200,00;339;20,00;3380;5,00;34309;2,00;16412;1,50
2022-12-08;6766;27264,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;30;20,00;345;5,00;3369;2,00;1744;1,50
2022-12-07;129550;249472,50;0;0,00;0;20000,00;4;2.000,00;39;200,00;300;20,00;2972;5,00;29917;2,00;13602;1,50
2022-12-06;139379;280228,50;0;0,00;0;20000,00;5;2.000,00;31;200,00;291;20,00;3381;5,00;33646;2,00;15757;1,50
2022-12-05;6420;24462,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;23;20,00;269;5,00;2843;2,00;1291;1,50
2022-12-04;5186;18976,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;29;20,00;233;5,00;2191;2,00;1044;1,50
2022-12-03;196395;358653,00;0;0,00;0;20000,00;9;2.000,00;38;200,00;419;20,00;4206;5,00;43598;2,00;20137;1,50
2022-12-02;230565;457006,50;0;0,00;0;20000,00;5;2.000,00;51;200,00;565;20,00;5374;5,00;55050;2,00;25363;1,50
2022-12-01;6481;25432,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;33;20,00;301;5,00;3043;2,00;1403;1,50
2022-11-30;126132;241341,00;0;0,00;0;20000,00;1;2.000,00;27;200,00;291;20,00;2941;5,00;28438;2,00;13248;1,50
2022-11-29;107265;211312,50;0;0,00;1;20000,00;2;2.000,00;21;200,00;281;20,00;2587;5,00;25319;2,00;11164;1,50
2022-11-28;6035;22999,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;35;20,00;311;5,00;2887;2,00;1226;1,50
2022-11-27;4966;18216,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;19;20,00;213;5,00;2201;2,00;1022;1,50
2022-11-26;199653;365124,00;0;0,00;0;20000,00;3;2.000,00;45;200,00;476;20,00;4473;5,00;44140;2,00;21036;1,50
2022-11-25;145118;273982,50;0;0,00;0;20000,00;4;2.000,00;27;200,00;333;20,00;3231;5,00;32443;2,00;15410;1,50
2022-11-24;6229;24195,00;0;0,00;0;20000,00;1;2.000,00;0;200,00;37;20,00;306;5,00;3054;2,00;1479;1,50
2022-11-23;133320;254754,00;0;0,00;0;20000,00;6;2.000,00;41;200,00;316;20,00;3007;5,00;30747;2,00;14394;1,50
2022-11-22;99914;195400,50;0;0,00;0;20000,00;3;2.000,00;27;200,00;259;20,00;2317;5,00;23667;2,00;10410;1,50
2022-11-21;6271;24168,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;31;20,00;308;5,00;2992;2,00;1346;1,50
2022-11-20;5056;17575,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;16;20,00;189;5,00;2186;2,00;996;1,50
2022-11-19;186058;338599,50;0;0,00;0;20000,00;6;2.000,00;39;200,00;377;20,00;4011;5,00;40542;2,00;19438;1,50
2022-11-18;137130;259522,50;0;0,00;0;20000,00;3;2.000,00;34;200,00;336;20,00;3045;5,00;30513;2,00;15655;1,50
2022-11-17;6788;25936,50;0;0,00;0;20000,00;1;2.000,00;2;200,00;27;20,00;303;5,00;3137;2,00;1477;1,50
2022-11-16;123932;236425,50;0;0,00;0;20000,00;5;2.000,00;40;200,00;267;20,00;2831;5,00;28473;2,00;14800;1,50
2022-11-15;101902;199851,00;0;0,00;0;20000,00;4;2.000,00;27;200,00;251;20,00;2316;5,00;24093;2,00;11565;1,50
2022-11-14;6878;26433,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;29;20,00;311;5,00;3176;2,00;1493;1,50
2022-11-13;5427;19825,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;30;20,00;227;5,00;2367;2,00;1031;1,50
2022-11-12;182976;334855,50;0;0,00;0;20000,00;3;2.000,00;44;200,00;436;20,00;4016;5,00;40315;2,00;16612;1,50
2022-11-11;125839;240297,00;0;0,00;0;20000,00;5;2.000,00;22;200,00;269;20,00;2946;5,00;29111;2,00;12992;1,50
2022-11-10;7749;30972,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;40;20,00;370;5,00;3714;2,00;1766;1,50
2022-11-09;132128;264112,50;0;0,00;0;20000,00;5;2.000,00;32;200,00;323;20,00;3183;5,00;31588;2,00;14631;1,50
2022-11-08;100809;197673,00;0;0,00;1;20000,00;1;2.000,00;22;200,00;238;20,00;2334;5,00;23680;2,00;10580;1,50
2022-11-07;6953;26563,50;0;0,00;0;20000,00;1;2.000,00;3;200,00;32;20,00;332;5,00;3187;2,00;1481;1,50
2022-11-06;5418;19704,00;0;0,00;0;20000,00;1;2.000,00;2;200,00;28;20,00;245;5,00;2349;2,00;1023;1,50
2022-11-05;188992;345177,00;0;0,00;1;20000,00;3;2.000,00;41;200,00;399;20,00;4111;5,00;41480;2,00;17854;1,50
2022-11-04;167413;324211,50;0;0,00;0;20000,00;5;2.000,00;36;200,00;373;20,00;3804;5,00;38527;2,00;18056;1,50
2022-11-03;6453;24276,00;0;0,00;0;20000,00;1;2.000,00;4;200,00;29;20,00;310;5,00;3027;2,00;1317;1,50
2022-11-02;132758;253663,50;0;0,00;1;20000,00;3;2.000,00;27;200,00;313;20,00;3118;5,00;30658;2,00;14352;1,50
2022-11-01;108785;216588,00;0;0,00;0;20000,00;1;2.000,00;31;200,00;247;20,00;2571;5,00;25864;2,00;11358;1,50
2022-10-31;6392;23763,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;28;20,00;313;5,00;2895;2,00;1222;1,50
2022-10-30;5140;18051,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;27;20,00;196;5,00;2155;2,00;1013;1,50
2022-10-29;197441;359121,00;0;0,00;0;20000,00;4;2.000,00;51;200,00;424;20,00;4260;5,00;42322;2,00;20618;1,50
2022-10-28;159049;303015,00;0;0,00;0;20000,00;6;2.000,00;40;200,00;413;20,00;3656;5,00;36162;2,00;16109;1,50
2022-10-27;5961;22273,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;31;20,00;245;5,00;2726;2,00;1205;1,50
2022-10-26;131684;249256,50;0;0,00;0;20000,00;6;2.000,00;36;200,00;302;20,00;2983;5,00;29906;2,00;12726;1,50
2022-10-25;112556;218851,50;0;0,00;1;20000,00;3;2.000,00;28;200,00;253;20,00;2606;5,00;25596;2,00;11621;1,50
2022-10-24;5860;22011,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;24;20,00;279;5,00;2647;2,00;1218;1,50
2022-10-23;4700;16606,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;22;20,00;200;5,00;2011;2,00;921;1,50
