Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2015-12-31;180797;337923,00;0;400000,00;0;20000,00;5;2.000,00;54;200,00;400;20,00;4039;5,00;40517;2,00;18814;1,50
2015-12-30;129819;235210,50;0;400000,00;0;20000,00;3;2.000,00;40;200,00;302;20,00;2776;5,00;28271;2,00;14614;1,50
2015-12-29;98999;178261,50;0;400000,00;0;20000,00;1;2.000,00;26;200,00;199;20,00;2093;5,00;21131;2,00;9899;1,50
2015-12-28;3851;12562,50;0;400000,00;0;20000,00;0;2.000,00;2;200,00;17;20,00;163;5,00;1512;2,00;780;1,50
2015-12-27;2881;8847,00;0;400000,00;0;20000,00;1;2.000,00;2;200,00;9;20,00;97;5,00;1065;2,00;457;1,50
2015-12-26;206110;357115,50;0;400000,00;0;20000,00;2;2.000,00;48;200,00;415;20,00;4292;5,00;42650;2,00;18596;1,50
2015-12-25;124892;217099,50;0;400000,00;0;20000,00;1;2.000,00;21;200,00;272;20,00;2639;5,00;25922;2,00;12049;1,50
2015-12-24;141687;266451,00;0;400000,00;0;20000,00;4;2.000,00;31;200,00;296;20,00;3092;5,00;32132;2,00;13972;1,50
2015-12-23;127398;227556,00;0;400000,00;0;20000,00;3;2.000,00;20;200,00;287;20,00;2793;5,00;27471;2,00;12640;1,50
2015-12-22;93069;167215,50;0;400000,00;0;20000,00;0;2.000,00;21;200,00;198;20,00;1935;5,00;20281;2,00;9176;1,50
2015-12-21;3972;13357,50;0;400000,00;0;20000,00;0;2.000,00;0;200,00;12;20,00;174;5,00;1586;2,00;801;1,50
2015-12-20;2862;8487,00;0;200000,00;0;20000,00;0;2.000,00;1;200,00;14;20,00;104;5,00;1036;2,00;456;1,50
2015-12-19;220820;379995,00;0;200000,00;1;20000,00;6;2.000,00;47;200,00;467;20,00;4544;5,00;45108;2,00;18714;1,50
2015-12-18;157119;276481,50;0;200000,00;0;20000,00;3;2.000,00;29;200,00;314;20,00;3312;5,00;33101;2,00;14876;1,50
2015-12-17;4227;13939,50;0;200000,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;144;5,00;1671;2,00;854;1,50
2015-12-16;123427;220729,50;0;200000,00;1;20000,00;3;2.000,00;30;200,00;259;20,00;2632;5,00;26298;2,00;11926;1,50
2015-12-15;100713;181090,50;0;200000,00;0;20000,00;2;2.000,00;24;200,00;223;20,00;2134;5,00;21669;2,00;9506;1,50
2015-12-14;3926;12355,50;0;200000,00;0;20000,00;0;2.000,00;0;200,00;11;20,00;128;5,00;1522;2,00;666;1,50
