Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2018-11-16;142683;252987,00;0;0,00;0;20000,00;0;2.000,00;27;200,00;279;20,00;2943;5,00;30440;2,00;14076;1,50
2018-11-15;3991;12781,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;16;20,00;149;5,00;1490;2,00;777;1,50
2018-11-14;122264;217492,50;0;0,00;0;20000,00;4;2.000,00;23;200,00;248;20,00;2542;5,00;26273;2,00;11636;1,50
2018-11-13;98284;178069,50;0;0,00;0;20000,00;2;2.000,00;13;200,00;232;20,00;2134;5,00;21255;2,00;10073;1,50
2018-11-12;3783;11946,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;13;20,00;144;5,00;1427;2,00;653;1,50
2018-11-11;3030;9094,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;7;20,00;100;5,00;1071;2,00;485;1,50
2018-11-10;207498;358045,50;0;0,00;0;20000,00;4;2.000,00;41;200,00;442;20,00;4377;5,00;43403;2,00;18660;1,50
2018-11-09;143647;254269,50;1;600000,00;0;20000,00;2;2.000,00;22;200,00;309;20,00;3077;5,00;30491;2,00;14141;1,50
2018-11-08;4365;14796,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;181;5,00;1779;2,00;861;1,50
2018-11-07;119069;212632,50;0;0,00;0;20000,00;1;2.000,00;25;200,00;247;20,00;2518;5,00;25432;2,00;13378;1,50
2018-11-06;96198;173923,50;0;0,00;0;20000,00;3;2.000,00;11;200,00;224;20,00;2047;5,00;21068;2,00;9460;1,50
2018-11-05;4290;14148,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;15;20,00;189;5,00;1641;2,00;733;1,50
2018-11-04;3174;9405,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;134;5,00;1130;2,00;521;1,50
2018-11-03;193181;335122,50;0;0,00;0;20000,00;4;2.000,00;41;200,00;399;20,00;3871;5,00;40504;2,00;17233;1,50
2018-11-02;144312;258885,00;0;0,00;0;20000,00;6;2.000,00;26;200,00;305;20,00;3129;5,00;31385;2,00;13417;1,50
2018-11-01;3537;11308,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;14;20,00;153;5,00;1298;2,00;620;1,50
2018-10-31;118664;213153,00;0;0,00;0;20000,00;1;2.000,00;22;200,00;267;20,00;2542;5,00;25307;2,00;12384;1,50
2018-10-30;104849;191821,50;0;0,00;0;20000,00;4;2.000,00;17;200,00;235;20,00;2335;5,00;23037;2,00;10384;1,50
2018-10-29;3791;12387,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;16;20,00;133;5,00;1447;2,00;775;1,50
2018-10-28;3054;9312,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;8;20,00;105;5,00;1158;2,00;481;1,50
2018-10-27;201358;347521,50;0;0,00;0;20000,00;3;2.000,00;41;200,00;388;20,00;4170;5,00;41774;2,00;19651;1,50
2018-10-26;148318;262612,50;0;0,00;0;20000,00;3;2.000,00;38;200,00;328;20,00;3129;5,00;31563;2,00;13529;1,50
2018-10-25;4197;14014,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;12;20,00;163;5,00;1720;2,00;718;1,50
2018-10-24;112925;202098,00;0;0,00;1;20000,00;3;2.000,00;31;200,00;253;20,00;2501;5,00;24329;2,00;11759;1,50
2018-10-23;102431;186369,00;0;0,00;0;20000,00;0;2.000,00;26;200,00;245;20,00;2241;5,00;22494;2,00;10440;1,50
2018-10-22;3923;12888,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;155;5,00;1570;2,00;687;1,50
2018-10-21;3116;9460,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;96;5,00;1127;2,00;505;1,50
2018-10-20;210318;364882,50;0;0,00;1;20000,00;6;2.000,00;47;200,00;426;20,00;4453;5,00;43727;2,00;20476;1,50
2018-10-19;145214;256275,00;0;0,00;0;20000,00;0;2.000,00;35;200,00;279;20,00;3018;5,00;30939;2,00;14749;1,50
2018-10-18;4011;13008,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;16;20,00;153;5,00;1492;2,00;668;1,50
2018-10-17;124057;221881,50;0;0,00;0;20000,00;4;2.000,00;17;200,00;245;20,00;2579;5,00;26180;2,00;12616;1,50
2018-10-16;99800;180382,50;0;0,00;1;20000,00;3;2.000,00;33;200,00;218;20,00;2119;5,00;21928;2,00;10087;1,50
2018-10-15;3776;11923,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;16;20,00;152;5,00;1372;2,00;617;1,50
2018-10-14;3076;9574,50;0;0,00;0;20000,00;1;2.000,00;0;200,00;11;20,00;107;5,00;1189;2,00;533;1,50
2018-10-13;213375;369832,50;0;0,00;0;20000,00;5;2.000,00;52;200,00;433;20,00;4500;5,00;44045;2,00;19210;1,50
2018-10-12;141061;249103,50;0;0,00;0;20000,00;6;2.000,00;37;200,00;305;20,00;3020;5,00;29738;2,00;12884;1,50
2018-10-11;4249;14022,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;18;20,00;172;5,00;1621;2,00;888;1,50
2018-10-10;121091;216426,00;0;0,00;0;20000,00;4;2.000,00;18;200,00;278;20,00;2637;5,00;26132;2,00;12358;1,50
2018-10-09;96675;175207,50;0;0,00;0;20000,00;3;2.000,00;21;200,00;247;20,00;2106;5,00;20923;2,00;9831;1,50
2018-10-08;3990;12544,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;9;20,00;125;5,00;1508;2,00;665;1,50
2018-10-07;3210;9619,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;14;20,00;111;5,00;1113;2,00;539;1,50
2018-10-06;207871;359137,50;0;0,00;0;20000,00;4;2.000,00;40;200,00;415;20,00;4264;5,00;43210;2,00;20816;1,50
2018-10-05;145046;256750,50;0;0,00;0;20000,00;6;2.000,00;31;200,00;294;20,00;3077;5,00;30522;2,00;14527;1,50
2018-10-04;4363;14184,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;15;20,00;167;5,00;1706;2,00;822;1,50
2018-10-03;119944;214572,00;0;0,00;0;20000,00;2;2.000,00;29;200,00;253;20,00;2431;5,00;25618;2,00;12696;1,50
2018-10-02;156001;287206,50;0;0,00;0;20000,00;3;2.000,00;33;200,00;330;20,00;3428;5,00;34865;2,00;16177;1,50
2018-10-01;4109;13159,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;8;20,00;150;5,00;1568;2,00;709;1,50
2018-09-30;3091;9330,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;5;20,00;116;5,00;1103;2,00;504;1,50
2018-09-29;198712;343255,50;0;0,00;2;20000,00;5;2.000,00;34;200,00;421;20,00;4104;5,00;41302;2,00;20074;1,50
2018-09-28;199370;359653,50;0;0,00;0;20000,00;4;2.000,00;33;200,00;453;20,00;4166;5,00;43313;2,00;19953;1,50
2018-09-27;4049;13282,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;15;20,00;142;5,00;1610;2,00;704;1,50
2018-09-26;113042;202053,00;0;0,00;0;20000,00;2;2.000,00;32;200,00;227;20,00;2494;5,00;24223;2,00;9799;1,50
2018-09-25;143052;262590,00;0;0,00;0;20000,00;1;2.000,00;21;200,00;301;20,00;3129;5,00;31246;2,00;14801;1,50
2018-09-24;3899;12499,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;163;5,00;1543;2,00;704;1,50
2018-09-23;3063;9327,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;11;20,00;140;5,00;1174;2,00;503;1,50
2018-09-22;198612;343708,50;0;0,00;0;20000,00;6;2.000,00;41;200,00;400;20,00;4188;5,00;41279;2,00;18749;1,50
2018-09-21;236024;425952,00;0;0,00;0;20000,00;7;2.000,00;58;200,00;529;20,00;5161;5,00;50789;2,00;25159;1,50
2018-09-20;3997;12360,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;14;20,00;142;5,00;1512;2,00;665;1,50
2018-09-19;111944;199800,00;0;0,00;0;20000,00;3;2.000,00;13;200,00;257;20,00;2438;5,00;23889;2,00;10831;1,50
2018-09-18;96805;175374,00;0;0,00;0;20000,00;3;2.000,00;18;200,00;200;20,00;2125;5,00;21274;2,00;9829;1,50
2018-09-17;3824;11887,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;140;5,00;1464;2,00;672;1,50
2018-09-16;3089;9174,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;9;20,00;114;5,00;1101;2,00;549;1,50
2018-09-15;198082;341508,00;0;0,00;1;20000,00;5;2.000,00;41;200,00;404;20,00;4099;5,00;40934;2,00;16351;1,50
2018-09-14;150008;264648,00;0;0,00;0;20000,00;3;2.000,00;38;200,00;299;20,00;3223;5,00;31743;2,00;14280;1,50
2018-09-13;4335;14212,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;12;20,00;160;5,00;1701;2,00;712;1,50
2018-09-12;112036;200328,00;0;0,00;0;20000,00;1;2.000,00;27;200,00;242;20,00;2331;5,00;24214;2,00;11055;1,50
2018-09-11;91309;165226,50;0;0,00;0;20000,00;2;2.000,00;24;200,00;228;20,00;1953;5,00;19981;2,00;10182;1,50
2018-09-10;4220;13935,00;1;1000000,00;0;20000,00;0;2.000,00;2;200,00;22;20,00;203;5,00;1658;2,00;801;1,50
2018-09-09;3361;10509,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;13;20,00;131;5,00;1222;2,00;650;1,50
2018-09-08;207668;361197,00;0;0,00;0;20000,00;2;2.000,00;49;200,00;423;20,00;4324;5,00;43009;2,00;18753;1,50
2018-09-07;131728;233746,50;0;0,00;0;20000,00;1;2.000,00;28;200,00;277;20,00;2777;5,00;27940;2,00;13190;1,50
2018-09-06;4637;16044,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;22;20,00;206;5,00;1856;2,00;908;1,50
2018-09-05;117604;211855,50;0;0,00;1;20000,00;5;2.000,00;21;200,00;272;20,00;2507;5,00;25470;2,00;10327;1,50
2018-09-04;96808;176896,50;0;0,00;0;20000,00;2;2.000,00;13;200,00;214;20,00;2118;5,00;21187;2,00;9862;1,50
2018-09-03;4471;14346,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;17;20,00;169;5,00;1656;2,00;739;1,50
2018-09-02;3376;10485,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;16;20,00;136;5,00;1251;2,00;584;1,50
2018-09-01;200983;349282,50;0;0,00;1;20000,00;2;2.000,00;36;200,00;414;20,00;4315;5,00;42074;2,00;19947;1,50
2018-08-31;134356;240336,00;0;0,00;1;20000,00;4;2.000,00;25;200,00;278;20,00;2893;5,00;28775;2,00;13257;1,50
2018-08-30;4917;17331,00;0;0,00;0;20000,00;1;2.000,00;0;200,00;19;20,00;209;5,00;2028;2,00;1091;1,50
2018-08-29;115990;210160,50;0;0,00;0;20000,00;1;2.000,00;26;200,00;235;20,00;2479;5,00;25348;2,00;12039;1,50
2018-08-28;89433;164398,50;0;0,00;0;20000,00;0;2.000,00;18;200,00;188;20,00;2020;5,00;19453;2,00;8885;1,50
2018-08-27;4360;14343,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;14;20,00;151;5,00;1731;2,00;773;1,50
2018-08-26;3291;10227,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;9;20,00;127;5,00;1210;2,00;610;1,50
2018-08-25;196533;341755,50;0;0,00;0;20000,00;7;2.000,00;31;200,00;410;20,00;4127;5,00;41075;2,00;19617;1,50
2018-08-24;128690;229447,50;0;0,00;0;20000,00;2;2.000,00;32;200,00;272;20,00;2774;5,00;27492;2,00;12423;1,50
2018-08-23;4753;16645,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;24;20,00;226;5,00;2085;2,00;909;1,50
2018-08-22;115847;209202,00;0;0,00;0;20000,00;1;2.000,00;21;200,00;254;20,00;2532;5,00;24797;2,00;11249;1,50
2018-08-21;111813;206845,50;0;0,00;0;20000,00;2;2.000,00;16;200,00;261;20,00;2584;5,00;24660;2,00;10844;1,50
2018-08-20;4048;13162,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;17;20,00;156;5,00;1521;2,00;774;1,50
2018-08-19;3125;9535,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;10;20,00;121;5,00;1109;2,00;501;1,50
2018-08-18;196693;340923,00;0;0,00;0;20000,00;2;2.000,00;35;200,00;384;20,00;4194;5,00;41073;2,00;19609;1,50
2018-08-17;146874;265147,50;0;0,00;0;20000,00;5;2.000,00;31;200,00;345;20,00;3071;5,00;32212;2,00;15036;1,50
2018-08-16;4528;15390,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;22;20,00;149;5,00;1803;2,00;960;1,50
2018-08-15;103601;184950,00;0;0,00;1;20000,00;4;2.000,00;20;200,00;226;20,00;2187;5,00;21837;2,00;11973;1,50
2018-08-14;110902;203740,50;0;0,00;0;20000,00;4;2.000,00;25;200,00;243;20,00;2430;5,00;24364;2,00;11170;1,50
2018-08-13;4310;14181,00;0;0,00;0;20000,00;1;2.000,00;1;200,00;25;20,00;173;5,00;1733;2,00;824;1,50
2018-08-12;3182;9504,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;8;20,00;114;5,00;1134;2,00;485;1,50
2018-08-11;199865;348003,00;0;0,00;0;20000,00;1;2.000,00;39;200,00;430;20,00;4217;5,00;41596;2,00;16825;1,50
2018-08-10;135970;245101,50;0;0,00;0;20000,00;2;2.000,00;32;200,00;296;20,00;2941;5,00;29379;2,00;13755;1,50
2018-08-09;4958;17047,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;22;20,00;191;5,00;1934;2,00;941;1,50
2018-08-08;112277;202978,50;0;0,00;0;20000,00;4;2.000,00;29;200,00;236;20,00;2453;5,00;24577;2,00;10530;1,50
2018-08-07;94596;174798,00;0;0,00;0;20000,00;1;2.000,00;14;200,00;200;20,00;2076;5,00;20655;2,00;9765;1,50
2018-08-06;4541;14902,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;24;20,00;199;5,00;1747;2,00;854;1,50
2018-08-05;3290;9802,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;13;20,00;100;5,00;1116;2,00;526;1,50
2018-08-04;192879;336894,00;0;0,00;0;20000,00;4;2.000,00;45;200,00;404;20,00;4069;5,00;40031;2,00;18886;1,50
2018-08-03;133831;241339,50;0;0,00;0;20000,00;2;2.000,00;17;200,00;302;20,00;2921;5,00;28840;2,00;12690;1,50
2018-08-02;5109;17745,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;21;20,00;217;5,00;2089;2,00;1049;1,50
2018-08-01;112679;204367,50;0;0,00;0;20000,00;1;2.000,00;29;200,00;262;20,00;2338;5,00;24624;2,00;11832;1,50
2018-07-31;90513;167452,50;0;0,00;1;20000,00;1;2.000,00;17;200,00;196;20,00;2023;5,00;20293;2,00;9455;1,50
2018-07-30;4475;14761,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;12;20,00;191;5,00;1786;2,00;790;1,50
2018-07-29;3243;9697,50;0;0,00;0;20000,00;1;2.000,00;0;200,00;9;20,00;99;5,00;1142;2,00;546;1,50
2018-07-28;189073;330936,00;0;0,00;1;20000,00;1;2.000,00;42;200,00;402;20,00;4007;5,00;39656;2,00;18679;1,50
2018-07-27;122774;222487,50;0;0,00;0;20000,00;3;2.000,00;21;200,00;306;20,00;2601;5,00;26720;2,00;13018;1,50
2018-07-26;5191;18235,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;20;20,00;227;5,00;2161;2,00;953;1,50
2018-07-25;111809;202752,00;0;0,00;0;20000,00;2;2.000,00;22;200,00;254;20,00;2452;5,00;24147;2,00;11230;1,50
2018-07-24;82626;153865,50;0;0,00;0;20000,00;1;2.000,00;16;200,00;195;20,00;1816;5,00;18394;2,00;8558;1,50
2018-07-23;4664;15556,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;24;20,00;189;5,00;1851;2,00;780;1,50
2018-07-22;3060;9303,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;8;20,00;93;5,00;1135;2,00;506;1,50
2018-07-21;178414;310284,00;0;0,00;0;20000,00;1;2.000,00;44;200,00;381;20,00;3789;5,00;37231;2,00;17568;1,50
2018-07-20;128808;235774,50;0;0,00;0;20000,00;5;2.000,00;25;200,00;302;20,00;2836;5,00;28061;2,00;13257;1,50
2018-07-19;7304;26067,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;37;20,00;301;5,00;3023;2,00;1448;1,50
2018-07-18;112587;206646,00;0;0,00;0;20000,00;2;2.000,00;27;200,00;254;20,00;2451;5,00;24836;2,00;10586;1,50
2018-07-17;86027;161340,00;0;0,00;1;20000,00;0;2.000,00;13;200,00;187;20,00;1903;5,00;19118;2,00;9033;1,50
2018-07-16;5499;18861,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;27;20,00;220;5,00;2338;2,00;1042;1,50
2018-07-15;3314;10278,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;13;20,00;124;5,00;1146;2,00;582;1,50
2018-07-14;207320;368895,00;0;0,00;0;20000,00;2;2.000,00;54;200,00;466;20,00;4515;5,00;44243;2,00;22925;1,50
2018-07-13;252972;468757,50;0;0,00;0;20000,00;8;2.000,00;55;200,00;531;20,00;5535;5,00;56177;2,00;25924;1,50
2018-07-12;5681;19612,50;0;0,00;1;20000,00;0;2.000,00;6;200,00;18;20,00;250;5,00;2412;2,00;1098;1,50
2018-07-11;112031;200656,50;0;0,00;0;20000,00;4;2.000,00;24;200,00;237;20,00;2354;5,00;24267;2,00;11051;1,50
2018-07-10;95935;174259,50;0;0,00;0;20000,00;1;2.000,00;19;200,00;179;20,00;2119;5,00;20899;2,00;9319;1,50
2018-07-09;3834;12321,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;19;20,00;167;5,00;1446;2,00;655;1,50
2018-07-08;3140;9468,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;13;20,00;111;5,00;1175;2,00;568;1,50
2018-07-07;203308;352561,50;0;0,00;1;20000,00;4;2.000,00;34;200,00;396;20,00;4256;5,00;42186;2,00;19213;1,50
2018-07-06;137766;244740,00;0;0,00;0;20000,00;1;2.000,00;25;200,00;327;20,00;2870;5,00;29301;2,00;13435;1,50
2018-07-05;4166;13578,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;19;20,00;209;5,00;1600;2,00;772;1,50
2018-07-04;118009;211603,50;0;0,00;0;20000,00;3;2.000,00;25;200,00;241;20,00;2502;5,00;25259;2,00;10762;1,50
2018-07-03;90723;163831,50;0;0,00;0;20000,00;2;2.000,00;16;200,00;166;20,00;1934;5,00;19640;2,00;9328;1,50
2018-07-02;4033;13116,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;19;20,00;171;5,00;1495;2,00;663;1,50
2018-07-01;3141;9478,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;107;5,00;1110;2,00;530;1,50
2018-06-30;205874;357160,50;0;0,00;0;20000,00;7;2.000,00;34;200,00;428;20,00;4343;5,00;42685;2,00;20637;1,50
2018-06-29;132652;235045,50;0;0,00;0;20000,00;0;2.000,00;25;200,00;290;20,00;2832;5,00;28127;2,00;14085;1,50
2018-06-28;4217;14076,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;23;20,00;156;5,00;1683;2,00;749;1,50
2018-06-27;118453;213213,00;0;0,00;0;20000,00;3;2.000,00;25;200,00;239;20,00;2553;5,00;25490;2,00;13317;1,50
2018-06-26;88917;161185,50;0;0,00;0;20000,00;4;2.000,00;27;200,00;198;20,00;1934;5,00;19345;2,00;9178;1,50
2018-06-25;3873;12544,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;8;20,00;134;5,00;1477;2,00;698;1,50
2018-06-24;3166;9690,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;10;20,00;128;5,00;1159;2,00;558;1,50
2018-06-23;214857;372654,00;0;0,00;0;20000,00;7;2.000,00;39;200,00;458;20,00;4403;5,00;45032;2,00;19762;1,50
2018-06-22;130182;230340,00;0;0,00;1;20000,00;6;2.000,00;23;200,00;263;20,00;2619;5,00;27447;2,00;12767;1,50
2018-06-21;4211;13951,50;0;0,00;0;20000,00;1;2.000,00;2;200,00;15;20,00;187;5,00;1630;2,00;859;1,50
2018-06-20;127106;227092,50;0;0,00;0;20000,00;3;2.000,00;38;200,00;282;20,00;2762;5,00;27630;2,00;11607;1,50
2018-06-19;92410;166866,00;0;0,00;0;20000,00;2;2.000,00;21;200,00;199;20,00;1999;5,00;20044;2,00;9074;1,50
2018-06-18;3890;12147,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;7;20,00;152;5,00;1521;2,00;685;1,50
2018-06-17;3166;9126,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;3;20,00;116;5,00;1086;2,00;485;1,50
2018-06-16;215568;373347,00;0;0,00;0;20000,00;1;2.000,00;48;200,00;454;20,00;4366;5,00;44904;2,00;20158;1,50
2018-06-15;132126;233098,50;0;0,00;0;20000,00;1;2.000,00;33;200,00;295;20,00;2851;5,00;28294;2,00;12787;1,50
2018-06-14;4226;13785,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;15;20,00;187;5,00;1654;2,00;741;1,50
2018-06-13;123359;220905,00;0;0,00;0;20000,00;3;2.000,00;35;200,00;263;20,00;2652;5,00;26264;2,00;11006;1,50
