Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2023-12-31;227643;469440,00;0;0,00;0;20000,00;12;2.000,00;57;200,00;609;20,00;5635;5,00;56168;2,00;28095;1,50
2023-12-30;201700;366489,00;0;0,00;0;20000,00;2;2.000,00;54;200,00;447;20,00;4320;5,00;43985;2,00;22614;1,50
2023-12-29;151005;288147,00;0;0,00;0;20000,00;4;2.000,00;38;200,00;325;20,00;3474;5,00;34486;2,00;16595;1,50
2023-12-28;30107;63340,50;0;0,00;0;20000,00;1;2.000,00;14;200,00;86;20,00;771;5,00;7624;2,00;3570;1,50
2023-12-27;121795;229174,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;283;20,00;2777;5,00;27329;2,00;14329;1,50
2023-12-26;94500;184128,00;0;0,00;0;20000,00;2;2.000,00;27;200,00;244;20,00;2189;5,00;22054;2,00;10446;1,50
2023-12-25;30784;65394,00;0;0,00;0;20000,00;0;2.000,00;8;200,00;74;20,00;821;5,00;7887;2,00;3595;1,50
2023-12-24;184070;371815,50;0;0,00;0;20000,00;1;2.000,00;47;200,00;468;20,00;4517;5,00;44200;2,00;20466;1,50
2023-12-23;196466;353224,50;0;0,00;0;20000,00;2;2.000,00;46;200,00;402;20,00;4100;5,00;42207;2,00;19951;1,50
2023-12-22;158983;302427,00;0;0,00;0;20000,00;5;2.000,00;30;200,00;393;20,00;3607;5,00;36313;2,00;16283;1,50
2023-12-21;30162;62812,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;78;20,00;731;5,00;7462;2,00;3488;1,50
2023-12-20;131582;246795,00;0;0,00;0;20000,00;6;2.000,00;32;200,00;275;20,00;3007;5,00;29639;2,00;13461;1,50
2023-12-19;103277;199849,50;0;0,00;0;20000,00;3;2.000,00;26;200,00;247;20,00;2427;5,00;23781;2,00;10638;1,50
2023-12-18;29616;59805,00;0;0,00;0;20000,00;1;2.000,00;8;200,00;81;20,00;676;5,00;7359;2,00;3468;1,50
2023-12-17;3752;11646,00;0;0,00;0;20000,00;1;2.000,00;2;200,00;8;20,00;138;5,00;1434;2,00;620;1,50
2023-12-16;193505;347206,50;0;0,00;0;20000,00;7;2.000,00;46;200,00;436;20,00;4138;5,00;42203;2,00;18859;1,50
2023-12-15;147889;278971,50;0;0,00;1;20000,00;2;2.000,00;27;200,00;362;20,00;3354;5,00;33720;2,00;14779;1,50
2023-12-14;30871;62971,50;0;0,00;0;20000,00;2;2.000,00;9;200,00;76;20,00;772;5,00;7574;2,00;3390;1,50
2023-12-13;129491;241894,50;0;0,00;0;20000,00;1;2.000,00;36;200,00;295;20,00;2889;5,00;29019;2,00;12654;1,50
2023-12-12;107187;208608,00;0;0,00;1;20000,00;3;2.000,00;28;200,00;246;20,00;2516;5,00;24929;2,00;10956;1,50
2023-12-11;32386;65908,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;72;20,00;792;5,00;7905;2,00;4131;1,50
2023-12-10;3728;11374,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;19;20,00;136;5,00;1287;2,00;698;1,50
2023-12-09;192400;346554,00;0;0,00;0;20000,00;4;2.000,00;41;200,00;411;20,00;4207;5,00;41160;2,00;20145;1,50
2023-12-08;279743;581121,00;0;0,00;1;20000,00;3;2.000,00;49;200,00;727;20,00;6955;5,00;69550;2,00;32118;1,50
2023-12-07;33546;68713,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;67;20,00;816;5,00;8294;2,00;3843;1,50
2023-12-06;142360;268870,50;1;600000,00;0;20000,00;0;2.000,00;30;200,00;331;20,00;3203;5,00;32129;2,00;16533;1,50
2023-12-05;190004;394351,50;0;0,00;0;20000,00;8;2.000,00;49;200,00;516;20,00;4744;5,00;46851;2,00;22173;1,50
2023-12-04;35277;72049,50;0;0,00;0;20000,00;1;2.000,00;11;200,00;88;20,00;879;5,00;8701;2,00;3989;1,50
2023-12-03;4075;12903,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;150;5,00;1558;2,00;783;1,50
2023-12-02;203974;369984,00;0;0,00;0;20000,00;5;2.000,00;41;200,00;441;20,00;4564;5,00;44769;2,00;20400;1,50
2023-12-01;306010;631030,50;0;0,00;0;20000,00;8;2.000,00;58;200,00;816;20,00;7588;5,00;75748;2,00;37083;1,50
2023-11-30;36574;75112,50;0;0,00;0;20000,00;2;2.000,00;3;200,00;96;20,00;938;5,00;9157;2,00;4037;1,50
2023-11-29;128671;240400,50;0;0,00;0;20000,00;1;2.000,00;23;200,00;263;20,00;2909;5,00;28991;2,00;13641;1,50
2023-11-28;104175;201286,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;267;20,00;2368;5,00;23919;2,00;10836;1,50
2023-11-27;34026;68772,00;0;0,00;0;20000,00;0;2.000,00;9;200,00;87;20,00;856;5,00;8238;2,00;4289;1,50
2023-11-26;3947;12493,50;0;0,00;0;20000,00;0;2.000,00;7;200,00;17;20,00;152;5,00;1540;2,00;647;1,50
2023-11-25;185086;331168,50;0;0,00;0;20000,00;3;2.000,00;33;200,00;417;20,00;4042;5,00;39803;2,00;18157;1,50
2023-11-24;146171;275230,50;0;0,00;0;20000,00;3;2.000,00;36;200,00;328;20,00;3259;5,00;33472;2,00;15130;1,50
2023-11-23;36864;75336,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;92;20,00;920;5,00;9030;2,00;4152;1,50
2023-11-22;120620;224071,50;0;0,00;0;20000,00;4;2.000,00;29;200,00;270;20,00;2710;5,00;26775;2,00;11449;1,50
2023-11-21;98439;188836,50;0;0,00;0;20000,00;5;2.000,00;37;200,00;206;20,00;2238;5,00;22284;2,00;10643;1,50
2023-11-20;36900;74937,00;0;0,00;0;20000,00;1;2.000,00;11;200,00;101;20,00;898;5,00;8952;2,00;4143;1,50
2023-11-19;3884;12070,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;17;20,00;142;5,00;1432;2,00;739;1,50
2023-11-18;179037;318747,00;0;0,00;1;20000,00;1;2.000,00;33;200,00;435;20,00;3909;5,00;38166;2,00;19561;1,50
2023-11-17;140787;263893,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;301;20,00;3171;5,00;32175;2,00;14723;1,50
2023-11-16;39243;80206,50;0;0,00;0;20000,00;3;2.000,00;12;200,00;97;20,00;965;5,00;9464;2,00;4758;1,50
2023-11-15;121942;227010,00;0;0,00;0;20000,00;1;2.000,00;31;200,00;283;20,00;2768;5,00;27643;2,00;13020;1,50
2023-11-14;92484;177811,50;0;0,00;0;20000,00;2;2.000,00;24;200,00;207;20,00;2171;5,00;21364;2,00;9566;1,50
2023-11-13;38078;78483,00;0;0,00;0;20000,00;0;2.000,00;15;200,00;82;20,00;950;5,00;9307;2,00;4515;1,50
2023-11-12;3864;11988,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;16;20,00;175;5,00;1450;2,00;663;1,50
2023-11-11;176629;316306,50;0;0,00;0;20000,00;3;2.000,00;40;200,00;384;20,00;3753;5,00;37431;2,00;19416;1,50
2023-11-10;138332;257716,50;0;0,00;0;20000,00;1;2.000,00;33;200,00;302;20,00;3095;5,00;30838;2,00;14493;1,50
2023-11-09;42350;87808,50;0;0,00;0;20000,00;1;2.000,00;10;200,00;112;20,00;1057;5,00;10404;2,00;4635;1,50
2023-11-08;128151;239148,00;0;0,00;0;20000,00;4;2.000,00;30;200,00;291;20,00;2912;5,00;29057;2,00;13259;1,50
2023-11-07;98838;189169,50;0;0,00;0;20000,00;1;2.000,00;23;200,00;227;20,00;2301;5,00;22295;2,00;10227;1,50
2023-11-06;56749;119316,00;0;0,00;0;20000,00;2;2.000,00;18;200,00;149;20,00;1455;5,00;14264;2,00;6345;1,50
2023-11-05;4024;12667,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;15;20,00;138;5,00;1515;2,00;800;1,50
2023-11-04;187474;335758,50;0;0,00;2;20000,00;4;2.000,00;35;200,00;423;20,00;4020;5,00;40659;2,00;18107;1,50
2023-11-03;149094;285054,00;0;0,00;0;20000,00;7;2.000,00;30;200,00;366;20,00;3374;5,00;34502;2,00;15687;1,50
2023-11-02;4857;16113,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;20;20,00;146;5,00;1909;2,00;872;1,50
2023-11-01;129381;244692,00;0;0,00;1;20000,00;3;2.000,00;34;200,00;275;20,00;2857;5,00;28868;2,00;13402;1,50
2023-10-31;114402;222106,50;0;0,00;0;20000,00;2;2.000,00;31;200,00;256;20,00;2714;5,00;26593;2,00;13286;1,50
2023-10-30;4911;15987,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;25;20,00;209;5,00;1998;2,00;867;1,50
2023-10-29;4371;14074,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;22;20,00;175;5,00;1685;2,00;706;1,50
2023-10-28;196752;354949,50;0;0,00;0;20000,00;8;2.000,00;42;200,00;444;20,00;4225;5,00;42652;2,00;20753;1,50
2023-10-27;163847;315906,00;0;0,00;0;20000,00;4;2.000,00;42;200,00;376;20,00;3828;5,00;38192;2,00;16890;1,50
2023-10-26;5143;17391,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;18;20,00;204;5,00;2021;2,00;975;1,50
2023-10-25;128084;240234,00;0;0,00;0;20000,00;3;2.000,00;29;200,00;320;20,00;2890;5,00;29015;2,00;13867;1,50
2023-10-24;98800;189417,00;0;0,00;0;20000,00;3;2.000,00;20;200,00;221;20,00;2241;5,00;22907;2,00;10504;1,50
2023-10-23;4901;16101,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;18;20,00;200;5,00;1886;2,00;893;1,50
2023-10-22;4245;13614,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;12;20,00;168;5,00;1583;2,00;725;1,50
2023-10-21;187514;337021,50;0;0,00;0;20000,00;1;2.000,00;30;200,00;392;20,00;4056;5,00;40554;2,00;19560;1,50
2023-10-20;137741;259116,00;0;0,00;0;20000,00;2;2.000,00;33;200,00;295;20,00;3042;5,00;30809;2,00;14166;1,50
2023-10-19;5209;18178,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;23;20,00;228;5,00;2260;2,00;971;1,50
2023-10-18;129856;243447,00;0;0,00;1;20000,00;6;2.000,00;32;200,00;289;20,00;2948;5,00;29076;2,00;12943;1,50
2023-10-17;103576;200139,00;0;0,00;0;20000,00;2;2.000,00;24;200,00;221;20,00;2460;5,00;24095;2,00;11265;1,50
