Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2026-06-11;84236;430892.50;0;0.00;0;0.00;8;562.80;334;38.50;4969;5.50;29892;2.50
2026-06-08;86233;438122.50;0;0.00;0;0.00;8;482.80;377;34.20;5655;4.90;31971;2.50
2026-06-04;82419;420622.50;0;0.00;0;0.00;12;473.90;321;37.90;4887;5.40;29314;2.50
2026-06-01;80924;415000.00;0;0.00;0;0.00;9;616.20;372;37.90;4755;5.90;28757;2.50
2026-05-28;78159;400167.50;0;0.00;0;0.00;6;499.20;320;34.70;4916;4.80;28769;2.50
2026-05-25;72367;361877.50;0;0.00;0;0.00;16;285.70;397;25.60;5017;4.10;27092;2.50
2026-05-21;74736;378032.50;0;0.00;1;120000.00;10;498.60;283;41.40;4482;5.70;26636;2.50
2026-05-18;78832;400630.00;0;0.00;0;0.00;5;515.10;329;32.60;5189;4.50;30176;2.50
2026-05-14;72239;360935.00;0;0.00;0;0.00;20;224.20;501;17.40;5903;3.00;28577;2.50
2026-05-11;79695;403072.50;0;0.00;0;0.00;7;555.90;327;38.70;4846;5.50;28960;2.50
2026-05-07;84935;434622.50;0;0.00;0;0.00;7;474.30;346;34.60;5149;5.10;30856;2.50
2026-05-04;73657;367535.00;0;0.00;0;0.00;6;573.40;357;37.90;4573;5.70;26241;2.50
2026-04-30;86477;434280.00;0;0.00;0;0.00;10;300.00;496;20.80;6289;3.50;33143;2.50
2026-04-27;85600;421270.00;0;0.00;0;0.00;6;552.50;335;40.30;4971;5.80;29901;2.50
2026-04-23;87461;424227.50;0;0.00;1;120000.00;15;268.00;531;19.20;6549;3.20;33789;2.50
2026-04-20;87201;427247.50;0;0.00;0;0.00;10;314.90;401;26.60;5615;4.30;31642;2.50
2026-04-16;85937;420922.50;0;0.00;0;0.00;5;728.50;251;43.50;4799;5.60;30486;2.50
2026-04-13;90372;438157.50;0;0.00;0;0.00;17;400.00;418;28.80;5792;4.40;32550;2.50
2026-04-09;95989;475355.00;0;0.00;0;0.00;17;291.80;548;21.20;7351;3.40;37554;2.50
2026-04-06;91938;464435.00;0;0.00;0;0.00;16;559.80;362;36.10;5786;5.10;33301;2.50
2026-04-02;107024;573915.00;0;0.00;0;0.00;14;472.40;542;30.90;7886;4.60;43051;2.50
2026-03-30;88498;466767.50;0;0.00;0;0.00;9;481.80;428;32.60;5895;4.90;34000;2.50
2026-03-26;84322;440877.50;0;0.00;0;0.00;6;990.50;336;47.90;4739;6.60;29561;2.50
2026-03-23;87685;458185.00;0;0.00;0;0.00;14;422.20;384;29.70;5925;4.60;33098;2.50
2026-03-19;86024;445317.50;0;0.00;0;0.00;18;524.60;337;34.90;5202;5.10;32011;2.50
2026-03-16;95410;498795.00;0;0.00;0;0.00;6;684.30;365;43.60;5550;6.20;34223;2.50
2026-03-12;90232;475110.00;0;0.00;0;0.00;5;724.10;351;44.80;5574;6.00;33282;2.50
2026-03-09;93611;493380.00;0;0.00;0;0.00;13;723.70;350;52.70;5022;7.30;31845;2.50
2026-03-05;93735;494390.00;0;0.00;0;0.00;15;586.50;389;43.40;5843;6.10;34137;2.50
2026-03-02;95887;506380.00;0;0.00;0;0.00;6;564.00;416;34.80;6388;5.00;36630;2.50
2026-02-26;94976;499617.50;0;0.00;0;0.00;13;532.60;417;34.50;6432;4.80;36776;2.50
2026-02-23;102844;542637.50;0;0.00;0;0.00;14;406.00;462;32.70;6880;4.70;39123;2.50
2026-02-19;92710;486540.00;0;0.00;0;0.00;5;723.30;358;46.20;5488;6.00;35097;2.50
2026-02-16;101500;536950.00;0;0.00;0;0.00;19;369.20;526;29.60;6976;4.60;39593;2.50
2026-02-12;95743;505755.00;0;0.00;0;0.00;6;839.60;408;48.30;5593;6.40;34207;2.50
2026-02-09;99190;528362.50;0;0.00;0;0.00;14;291.20;497;27.80;6885;4.40;38754;2.50
2026-02-05;96625;516067.50;0;0.00;0;0.00;14;677.10;440;39.40;6533;5.50;38278;2.50
2026-02-02;99065;533940.00;0;0.00;0;0.00;8;593.40;449;34.50;6458;4.90;38620;2.50
2026-01-29;91902;486675.00;0;0.00;0;0.00;6;532.60;386;35.70;6044;4.80;35964;2.50
2026-01-26;100384;529997.50;0;0.00;0;0.00;16;541.90;475;40.80;6327;5.70;36780;2.50
2026-01-22;91613;482322.50;0;0.00;0;0.00;10;357.70;463;25.80;6305;4.10;36036;2.50
2026-01-19;98034;520432.50;0;0.00;0;0.00;13;504.80;479;32.10;6379;4.80;37417;2.50
2026-01-15;92434;491170.00;0;0.00;0;0.00;12;602.10;443;35.10;6308;5.10;35207;2.50
2026-01-12;98987;528955.00;0;0.00;0;0.00;17;324.00;532;27.40;7134;4.30;39593;2.50
2026-01-08;99546;535647.50;0;0.00;0;0.00;4;589.20;386;38.90;6145;5.60;37115;2.50
2026-01-05;104373;557605.00;0;0.00;0;0.00;8;633.10;560;40.50;6992;5.80;40462;2.50
2026-01-01;102787;559780.00;0;0.00;0;0.00;11;434.60;533;31.70;7218;4.80;40826;2.50
