Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2026-09-07;75186;375197.50;0;0.00;0;0.00;6;567.40;290;37.40;4435;5.10;27272;2.50
2026-09-03;72601;362985.00;0;0.00;0;0.00;11;381.80;398;28.00;4677;4.50;26681;2.50
2026-08-31;75861;380600.00;0;0.00;0;0.00;9;602.40;240;42.00;4121;6.00;26120;2.50
2026-08-27;71847;358685.00;0;0.00;0;0.00;6;670.00;311;43.60;4439;5.90;25624;2.50
2026-08-24;73420;367580.00;0;0.00;0;0.00;14;289.60;394;24.70;5258;4.00;28041;2.50
2026-08-20;72706;360475.00;0;0.00;0;0.00;6;584.30;268;39.40;4391;5.20;26689;2.50
2026-08-17;73315;363880.00;0;0.00;1;120000.00;10;452.40;365;28.40;5251;4.30;27987;2.50
2026-08-13;74511;372275.00;0;0.00;0;0.00;16;364.50;423;31.60;5165;5.00;27027;2.50
2026-08-10;79328;398272.50;0;0.00;0;0.00;4;397.20;347;27.50;5256;4.00;29899;2.50
2026-08-06;80216;401747.50;0;0.00;0;0.00;9;518.60;338;29.60;4957;4.60;29377;2.50
2026-08-03;73679;365930.00;0;0.00;0;0.00;11;473.90;304;31.60;4528;4.60;27007;2.50
2026-07-30;70983;353470.00;0;0.00;0;0.00;8;404.00;336;32.00;4540;5.00;25493;2.50
2026-07-27;72877;363907.50;0;0.00;0;0.00;7;425.90;333;30.00;4645;4.50;26449;2.50
2026-07-23;66916;329220.00;0;0.00;0;0.00;10;441.10;295;33.70;4183;4.70;23895;2.50
2026-07-20;71411;356230.00;0;0.00;0;0.00;13;440.90;429;30.80;4995;4.50;26818;2.50
2026-07-16;71573;357945.00;0;0.00;0;0.00;6;680.50;309;34.90;4404;5.20;25717;2.50
2026-07-13;74762;375195.00;0;0.00;0;0.00;7;365.50;380;23.90;5110;3.80;28900;2.50
2026-07-09;72796;364875.00;0;0.00;0;0.00;4;493.40;314;33.90;4316;5.10;25431;2.50
2026-07-06;75896;382632.50;0;0.00;0;0.00;6;397.10;356;29.00;5238;4.10;29535;2.50
2026-07-02;72457;367267.50;0;0.00;0;0.00;9;434.10;353;31.20;4689;4.70;27120;2.50
2026-06-29;72069;365935.00;0;0.00;0;0.00;9;508.90;283;33.90;4721;4.90;27645;2.50
2026-06-25;69388;350442.50;0;0.00;0;0.00;3;748.50;319;38.20;4234;5.30;25353;2.50
2026-06-22;72596;365362.50;0;0.00;0;0.00;8;571.80;334;39.60;4478;5.50;26386;2.50
2026-06-18;72849;368585.00;0;0.00;0;0.00;5;523.30;350;32.10;4932;4.60;28427;2.50
2026-06-15;78838;398535.00;0;0.00;0;0.00;7;464.70;357;32.50;5021;4.80;29579;2.50
