Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2026-09-07;21943;46183,50;0;0,00;0;20000,00;0;2.000,00;7;200,00;56;20,00;559;5,00;5466;2,00;2501;1,50
2026-09-06;4234;13518,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;17;20,00;156;5,00;1633;2,00;877;1,50
2026-09-05;210773;394420,50;0;0,00;0;20000,00;10;2.000,00;55;200,00;502;20,00;4829;5,00;46904;2,00;20288;1,50
2026-09-04;155034;302928,00;0;0,00;0;20000,00;3;2.000,00;41;200,00;348;20,00;3742;5,00;36039;2,00;17221;1,50
2026-09-03;21516;45762,00;0;0,00;0;20000,00;0;2.000,00;7;200,00;63;20,00;590;5,00;5701;2,00;2542;1,50
2026-09-02;151987;294279,00;0;0,00;0;20000,00;5;2.000,00;32;200,00;358;20,00;3515;5,00;35623;2,00;16368;1,50
2026-09-01;114022;225693,00;0;0,00;0;20000,00;2;2.000,00;24;200,00;277;20,00;2715;5,00;26697;2,00;12801;1,50
2026-08-31;22332;46710,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;62;20,00;598;5,00;5566;2,00;2589;1,50
2026-08-30;4360;14220,00;0;0,00;0;20000,00;1;2.000,00;2;200,00;26;20,00;153;5,00;1686;2,00;804;1,50
2026-08-29;224300;426961,50;0;0,00;0;20000,00;4;2.000,00;44;200,00;480;20,00;5171;5,00;51462;2,00;22720;1,50
2026-08-28;148762;289134,00;0;0,00;0;20000,00;3;2.000,00;39;200,00;350;20,00;3384;5,00;34740;2,00;15292;1,50
2026-08-27;21290;45484,50;0;0,00;0;20000,00;2;2.000,00;2;200,00;53;20,00;547;5,00;5471;2,00;2547;1,50
2026-08-26;140726;269545,50;0;0,00;0;20000,00;2;2.000,00;32;200,00;303;20,00;3264;5,00;32667;2,00;15203;1,50
2026-08-25;108393;214006,50;0;0,00;1;20000,00;3;2.000,00;23;200,00;243;20,00;2595;5,00;25769;2,00;11957;1,50
2026-08-24;21851;46839,00;0;0,00;0;20000,00;0;2.000,00;7;200,00;55;20,00;507;5,00;5620;2,00;2455;1,50
2026-08-23;4130;13335,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;20;20,00;146;5,00;1588;2,00;793;1,50
2026-08-22;189492;349459,50;0;0,00;0;20000,00;7;2.000,00;36;200,00;411;20,00;4145;5,00;41612;2,00;19884;1,50
2026-08-21;141154;274579,50;0;0,00;0;20000,00;6;2.000,00;24;200,00;329;20,00;3289;5,00;32697;2,00;15056;1,50
2026-08-20;20996;44532,00;0;0,00;0;20000,00;2;2.000,00;6;200,00;60;20,00;543;5,00;5452;2,00;2569;1,50
2026-08-19;129104;246751,50;0;0,00;1;20000,00;2;2.000,00;31;200,00;311;20,00;2842;5,00;29280;2,00;13486;1,50
2026-08-18;101700;201775,50;0;0,00;0;20000,00;2;2.000,00;23;200,00;225;20,00;2537;5,00;24236;2,00;10916;1,50
2026-08-17;21047;44949,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;73;20,00;529;5,00;5433;2,00;2853;1,50
2026-08-16;4133;13326,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;16;20,00;170;5,00;1613;2,00;717;1,50
2026-08-15;177056;328044,00;0;0,00;1;20000,00;8;2.000,00;36;200,00;408;20,00;3971;5,00;39908;2,00;17369;1,50
2026-08-14;139394;270603,00;0;0,00;0;20000,00;2;2.000,00;31;200,00;324;20,00;3397;5,00;32491;2,00;15119;1,50
2026-08-13;22055;48019,50;0;0,00;0;20000,00;0;2.000,00;9;200,00;68;20,00;592;5,00;5930;2,00;2617;1,50
2026-08-12;131553;254584,50;1;1200000,00;0;20000,00;2;2.000,00;22;200,00;325;20,00;3067;5,00;30390;2,00;14320;1,50
2026-08-11;104815;211474,50;0;0,00;0;20000,00;2;2.000,00;21;200,00;282;20,00;2513;5,00;25311;2,00;11967;1,50
2026-08-10;24425;54754,50;0;0,00;0;20000,00;1;2.000,00;10;200,00;77;20,00;610;5,00;6577;2,00;3045;1,50
2026-08-09;5332;19549,50;0;0,00;0;20000,00;1;2.000,00;3;200,00;29;20,00;240;5,00;2433;2,00;1040;1,50
2026-08-08;191720;358440,00;0;0,00;1;20000,00;2;2.000,00;38;200,00;398;20,00;4309;5,00;43068;2,00;18095;1,50
2026-08-07;163843;328765,50;0;0,00;1;20000,00;1;2.000,00;39;200,00;364;20,00;3870;5,00;39490;2,00;17996;1,50
2026-08-06;24426;55438,50;0;0,00;0;20000,00;0;2.000,00;13;200,00;64;20,00;745;5,00;6687;2,00;2860;1,50
2026-08-05;128816;249048,00;0;0,00;0;20000,00;4;2.000,00;25;200,00;315;20,00;3044;5,00;30265;2,00;14202;1,50
2026-08-04;119613;244197,00;0;0,00;0;20000,00;1;2.000,00;35;200,00;300;20,00;2884;5,00;29632;2,00;12780;1,50
2026-08-03;22602;51031,50;0;0,00;0;20000,00;1;2.000,00;10;200,00;59;20,00;621;5,00;6265;2,00;3220;1,50
2026-08-02;4882;17500,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;14;20,00;208;5,00;1965;2,00;1148;1,50
2026-08-01;199570;375039,00;0;0,00;0;20000,00;3;2.000,00;42;200,00;431;20,00;4462;5,00;45296;2,00;20613;1,50
2026-07-31;145340;286216,50;0;0,00;0;20000,00;4;2.000,00;40;200,00;353;20,00;3346;5,00;34422;2,00;16295;1,50
2026-07-30;21970;50118,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;62;20,00;577;5,00;6016;2,00;2810;1,50
2026-07-29;134592;260913,00;0;0,00;0;20000,00;2;2.000,00;26;200,00;307;20,00;3124;5,00;31299;2,00;14795;1,50
2026-07-28;107362;215370,00;0;0,00;0;20000,00;3;2.000,00;28;200,00;238;20,00;2578;5,00;25448;2,00;12242;1,50
2026-07-27;22052;49014,00;0;0,00;0;20000,00;2;2.000,00;4;200,00;56;20,00;591;5,00;5865;2,00;2759;1,50
2026-07-26;4792;17293,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;24;20,00;212;5,00;2101;2,00;963;1,50
2026-07-25;198725;374664,00;0;0,00;0;20000,00;4;2.000,00;40;200,00;440;20,00;4520;5,00;44594;2,00;21292;1,50
2026-07-24;139467;272115,00;0;0,00;0;20000,00;4;2.000,00;32;200,00;292;20,00;3226;5,00;33166;2,00;17144;1,50
2026-07-23;20530;46848,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;55;20,00;584;5,00;5635;2,00;2593;1,50
2026-07-22;122165;236269,50;0;0,00;1;20000,00;1;2.000,00;24;200,00;301;20,00;2805;5,00;28221;2,00;13164;1,50
2026-07-21;94872;191304,00;0;0,00;0;20000,00;1;2.000,00;24;200,00;233;20,00;2287;5,00;23023;2,00;10758;1,50
