Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2011-12-31;432649;759462,00;0;275000,00;1;20000,00;6;2.000,00;87;200,00;849;20,00;8960;5,00;91046;2,00;40825;1,50
2011-12-30;178757;311851,50;0;275000,00;0;20000,00;5;2.000,00;47;200,00;353;20,00;3754;5,00;37100;2,00;17013;1,50
2011-12-28;153286;275442,00;0;275000,00;0;20000,00;2;2.000,00;34;200,00;358;20,00;3321;5,00;33363;2,00;15285;1,50
2011-12-27;86826;156318,00;0;275000,00;0;20000,00;1;2.000,00;21;200,00;187;20,00;1873;5,00;18720;2,00;9034;1,50
2011-12-24;327702;563929,50;0;200000,00;0;20000,00;11;2.000,00;73;200,00;686;20,00;6924;5,00;67913;2,00;29424;1,50
2011-12-23;162340;281601,00;0;200000,00;1;20000,00;9;2.000,00;39;200,00;337;20,00;3368;5,00;33543;2,00;14626;1,50
2011-12-21;147764;264259,50;0;200000,00;0;20000,00;4;2.000,00;28;200,00;314;20,00;3291;5,00;31868;2,00;15772;1,50
2011-12-20;79207;142608,00;0;200000,00;0;20000,00;1;2.000,00;20;200,00;177;20,00;1774;5,00;17025;2,00;7340;1,50
2011-12-17;291902;502338,00;1;725000,00;0;20000,00;8;2.000,00;61;200,00;650;20,00;5830;5,00;60868;2,00;26472;1,50
2011-12-16;155268;269335,50;0;725000,00;0;20000,00;4;2.000,00;32;200,00;283;20,00;3272;5,00;32383;2,00;15326;1,50
2011-12-14;141804;254595,00;0;725000,00;1;20000,00;5;2.000,00;34;200,00;289;20,00;3106;5,00;30443;2,00;14434;1,50
2011-12-13;80967;146163,00;0;725000,00;0;20000,00;1;2.000,00;24;200,00;192;20,00;1730;5,00;17652;2,00;8377;1,50
2011-12-10;290087;499011,00;0;650000,00;0;20000,00;7;2.000,00;49;200,00;596;20,00;5849;5,00;59447;2,00;25912;1,50
2011-12-09;151032;261487,50;0;650000,00;0;20000,00;1;2.000,00;30;200,00;301;20,00;3145;5,00;31451;2,00;15134;1,50
2011-12-07;154246;275905,50;0;650000,00;0;20000,00;5;2.000,00;45;200,00;354;20,00;3307;5,00;33015;2,00;15017;1,50
2011-12-06;79236;142950,00;0;650000,00;0;20000,00;2;2.000,00;21;200,00;144;20,00;1700;5,00;17208;2,00;7651;1,50
2011-12-03;295460;509001,00;0;575000,00;0;20000,00;7;2.000,00;52;200,00;619;20,00;6062;5,00;61099;2,00;27971;1,50
2011-12-02;155041;268039,50;0;575000,00;0;20000,00;3;2.000,00;25;200,00;325;20,00;3228;5,00;32137;2,00;16465;1,50
2011-11-30;145967;261981,00;0;575000,00;0;20000,00;4;2.000,00;37;200,00;326;20,00;3104;5,00;31606;2,00;13791;1,50
2011-11-29;77609;140227,50;0;575000,00;0;20000,00;3;2.000,00;18;200,00;159;20,00;1712;5,00;16836;2,00;7186;1,50
2011-11-26;300337;517074,00;0;500000,00;1;20000,00;5;2.000,00;59;200,00;678;20,00;6339;5,00;62100;2,00;30169;1,50
2011-11-25;151205;262131,00;0;500000,00;0;20000,00;0;2.000,00;35;200,00;333;20,00;3146;5,00;31431;2,00;13146;1,50
2011-11-23;153443;275010,00;0;500000,00;0;20000,00;3;2.000,00;47;200,00;333;20,00;3336;5,00;33290;2,00;13362;1,50
2011-11-22;79195;142584,00;0;500000,00;0;20000,00;3;2.000,00;17;200,00;153;20,00;1716;5,00;17063;2,00;7493;1,50
2011-11-19;293149;504211,50;0;425000,00;1;20000,00;6;2.000,00;73;200,00;596;20,00;6007;5,00;60673;2,00;27894;1,50
2011-11-18;150237;259758,00;0;425000,00;0;20000,00;4;2.000,00;32;200,00;325;20,00;3056;5,00;31264;2,00;14434;1,50
2011-11-16;142753;256018,50;0;425000,00;0;20000,00;3;2.000,00;41;200,00;323;20,00;3074;5,00;30564;2,00;15254;1,50
2011-11-15;79660;142900,50;0;425000,00;0;20000,00;2;2.000,00;12;200,00;178;20,00;1719;5,00;17083;2,00;7641;1,50
2011-11-12;284236;489451,50;0;350000,00;0;20000,00;7;2.000,00;65;200,00;584;20,00;5839;5,00;58539;2,00;30586;1,50
2011-11-11;136297;236557,50;0;350000,00;0;20000,00;2;2.000,00;15;200,00;275;20,00;2889;5,00;28221;2,00;12055;1,50
