Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2013-12-31;333175;603187,50;0;950000,00;0;20000,00;6;2.000,00;77;200,00;727;20,00;7355;5,00;72377;2,00;32789;1,50
2013-12-28;241429;414705,00;0;875000,00;0;20000,00;7;2.000,00;45;200,00;491;20,00;4941;5,00;49889;2,00;24438;1,50
2013-12-27;149943;263007,00;0;875000,00;0;20000,00;0;2.000,00;23;200,00;310;20,00;3141;5,00;31865;2,00;14668;1,50
2013-12-25;110935;197940,00;0;875000,00;0;20000,00;5;2.000,00;25;200,00;229;20,00;2363;5,00;23569;2,00;10521;1,50
2013-12-24;260415;468027,00;0;875000,00;0;20000,00;4;2.000,00;52;200,00;558;20,00;5652;5,00;55546;2,00;25817;1,50
2013-12-21;247900;425284,50;0;800000,00;0;20000,00;5;2.000,00;53;200,00;520;20,00;5049;5,00;51056;2,00;20856;1,50
2013-12-20;156235;272109,00;0;800000,00;0;20000,00;3;2.000,00;40;200,00;320;20,00;3325;5,00;32248;2,00;15225;1,50
2013-12-18;125720;224281,50;0;800000,00;0;20000,00;3;2.000,00;33;200,00;281;20,00;2760;5,00;26994;2,00;12643;1,50
2013-12-17;91015;162819,00;0;800000,00;0;20000,00;3;2.000,00;19;200,00;181;20,00;1908;5,00;19468;2,00;8732;1,50
2013-12-14;241130;413332,50;0;725000,00;0;20000,00;7;2.000,00;46;200,00;493;20,00;5006;5,00;49382;2,00;22293;1,50
2013-12-13;345254;608260,50;0;725000,00;3;20000,00;7;2.000,00;75;200,00;712;20,00;7434;5,00;73022;2,00;33908;1,50
2013-12-11;117587;209875,50;0;725000,00;0;20000,00;7;2.000,00;21;200,00;266;20,00;2494;5,00;24861;2,00;11670;1,50
2013-12-10;86466;154410,00;0;725000,00;0;20000,00;1;2.000,00;13;200,00;199;20,00;1892;5,00;18555;2,00;8310;1,50
2013-12-07;243143;416505,00;0;650000,00;0;20000,00;7;2.000,00;53;200,00;523;20,00;5071;5,00;49682;2,00;23486;1,50
2013-12-06;146913;253833,00;0;650000,00;0;20000,00;0;2.000,00;35;200,00;306;20,00;3117;5,00;30437;2,00;13033;1,50
2013-12-04;119820;214002,00;0;650000,00;1;20000,00;3;2.000,00;21;200,00;231;20,00;2533;5,00;25645;2,00;12414;1,50
2013-12-03;84770;151245,00;0;650000,00;0;20000,00;5;2.000,00;21;200,00;179;20,00;1789;5,00;18304;2,00;8815;1,50
2013-11-30;243112;416814,00;0;575000,00;0;20000,00;3;2.000,00;43;200,00;533;20,00;5013;5,00;50156;2,00;24593;1,50
2013-11-29;142726;246630,00;0;575000,00;0;20000,00;3;2.000,00;31;200,00;310;20,00;3003;5,00;29417;2,00;13824;1,50
2013-11-27;118713;211756,50;0;575000,00;0;20000,00;3;2.000,00;26;200,00;240;20,00;2535;5,00;25401;2,00;12788;1,50
2013-11-26;87043;155707,50;0;575000,00;0;20000,00;3;2.000,00;21;200,00;185;20,00;1876;5,00;18418;2,00;8818;1,50
2013-11-23;247540;424566,00;0;500000,00;1;20000,00;3;2.000,00;54;200,00;514;20,00;5007;5,00;51572;2,00;25538;1,50
2013-11-22;146137;253030,50;0;500000,00;0;20000,00;5;2.000,00;22;200,00;264;20,00;3041;5,00;30381;2,00;14830;1,50
2013-11-20;124437;221530,50;0;500000,00;0;20000,00;3;2.000,00;30;200,00;273;20,00;2619;5,00;26295;2,00;12015;1,50
2013-11-19;87336;156301,50;0;500000,00;1;20000,00;0;2.000,00;30;200,00;190;20,00;1890;5,00;18869;2,00;9759;1,50
2013-11-16;244829;420240,00;0;425000,00;0;20000,00;5;2.000,00;43;200,00;496;20,00;5087;5,00;50194;2,00;21571;1,50
2013-11-15;232979;410841,00;0;425000,00;0;20000,00;2;2.000,00;55;200,00;472;20,00;4859;5,00;49348;2,00;23005;1,50
2013-11-13;116582;208680,00;0;425000,00;0;20000,00;0;2.000,00;23;200,00;227;20,00;2590;5,00;25284;2,00;11367;1,50
2013-11-12;77911;139479,00;0;425000,00;0;20000,00;1;2.000,00;20;200,00;170;20,00;1664;5,00;16723;2,00;7930;1,50
2013-11-09;243698;417321,00;0;350000,00;0;20000,00;9;2.000,00;46;200,00;487;20,00;4857;5,00;49860;2,00;22529;1,50
2013-11-08;145515;251178,00;0;350000,00;0;20000,00;8;2.000,00;28;200,00;291;20,00;3019;5,00;29959;2,00;14216;1,50
2013-11-06;120360;215466,00;0;350000,00;0;20000,00;1;2.000,00;24;200,00;235;20,00;2607;5,00;25959;2,00;10456;1,50
2013-11-05;86267;154726,50;0;350000,00;0;20000,00;0;2.000,00;23;200,00;185;20,00;1846;5,00;18413;2,00;8639;1,50
2013-11-02;239380;411885,00;0;275000,00;0;20000,00;6;2.000,00;49;200,00;498;20,00;4971;5,00;49544;2,00;24370;1,50
2013-11-01;119128;206436,00;0;275000,00;0;20000,00;0;2.000,00;23;200,00;221;20,00;2528;5,00;24877;2,00;11090;1,50
2013-10-30;127323;227913,00;0;275000,00;1;20000,00;2;2.000,00;30;200,00;241;20,00;2723;5,00;27362;2,00;12710;1,50
2013-10-29;82548;148114,50;0;275000,00;0;20000,00;1;2.000,00;21;200,00;147;20,00;1810;5,00;17893;2,00;7708;1,50
2013-10-26;242511;419746,50;0;200000,00;0;20000,00;6;2.000,00;59;200,00;501;20,00;5207;5,00;50157;2,00;21791;1,50
2013-10-25;143496;260071,50;1;2525000,00;0;20000,00;2;2.000,00;22;200,00;328;20,00;3019;5,00;31555;2,00;13392;1,50
