Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2020-12-31;235526;469263,00;0;0,00;1;20000,00;9;2.000,00;52;200,00;549;20,00;5697;5,00;56525;2,00;25244;1,50
2020-12-30;137472;261108,00;0;0,00;0;20000,00;5;2.000,00;36;200,00;281;20,00;3177;5,00;31498;2,00;16173;1,50
2020-12-29;119710;232564,50;0;0,00;0;20000,00;2;2.000,00;25;200,00;234;20,00;2901;5,00;28086;2,00;13155;1,50
2020-12-28;7767;30526,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;42;20,00;382;5,00;3562;2,00;1875;1,50
2020-12-27;6173;23014,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;39;20,00;295;5,00;2779;2,00;1325;1,50
2020-12-26;194407;355980,00;0;0,00;0;20000,00;3;2.000,00;41;200,00;429;20,00;4267;5,00;42991;2,00;20024;1,50
2020-12-25;142254;267912,00;0;0,00;1;20000,00;3;2.000,00;36;200,00;330;20,00;3262;5,00;32361;2,00;14477;1,50
2020-12-24;177410;352033,50;0;0,00;0;20000,00;3;2.000,00;37;200,00;448;20,00;4178;5,00;42445;2,00;18964;1,50
2020-12-23;141995;270328,50;0;0,00;0;20000,00;7;2.000,00;25;200,00;326;20,00;3098;5,00;31839;2,00;14309;1,50
2020-12-22;122430;237468,00;0;0,00;0;20000,00;1;2.000,00;28;200,00;273;20,00;2740;5,00;28707;2,00;13117;1,50
2020-12-21;7391;28744,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;42;20,00;366;5,00;3563;2,00;1571;1,50
2020-12-20;5449;19806,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;37;20,00;225;5,00;2386;2,00;1166;1,50
2020-12-19;207774;374112,00;0;0,00;0;20000,00;1;2.000,00;48;200,00;447;20,00;4579;5,00;44965;2,00;21868;1,50
2020-12-18;162070;303432,00;0;0,00;0;20000,00;5;2.000,00;33;200,00;374;20,00;3689;5,00;35939;2,00;18448;1,50
2020-12-17;7525;29782,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;40;20,00;390;5,00;3637;2,00;1702;1,50
2020-12-16;130459;246081,00;0;0,00;0;20000,00;3;2.000,00;24;200,00;309;20,00;2965;5,00;29852;2,00;13611;1,50
2020-12-15;116399;224530,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;259;20,00;2758;5,00;26961;2,00;12740;1,50
2020-12-14;7071;27325,50;0;0,00;0;20000,00;1;2.000,00;4;200,00;32;20,00;322;5,00;3201;2,00;1463;1,50
2020-12-13;5751;20914,50;0;0,00;0;20000,00;1;2.000,00;3;200,00;21;20,00;240;5,00;2435;2,00;1082;1,50
2020-12-12;217869;393183,00;0;0,00;0;20000,00;4;2.000,00;39;200,00;446;20,00;4755;5,00;47505;2,00;19608;1,50
2020-12-11;264287;509824,50;0;0,00;1;20000,00;5;2.000,00;74;200,00;582;20,00;6078;5,00;60959;2,00;29451;1,50
2020-12-10;7002;25750,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;32;20,00;322;5,00;3078;2,00;1556;1,50
2020-12-09;142908;268326,00;0;0,00;0;20000,00;0;2.000,00;41;200,00;344;20,00;3298;5,00;32590;2,00;14884;1,50
2020-12-08;231472;458323,50;0;0,00;0;20000,00;4;2.000,00;64;200,00;537;20,00;5377;5,00;55250;2,00;26377;1,50
2020-12-07;7262;26925,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;28;20,00;297;5,00;3265;2,00;1532;1,50
2020-12-06;5675;20434,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;18;20,00;285;5,00;2474;2,00;1239;1,50
2020-12-05;219842;396513,00;0;0,00;0;20000,00;6;2.000,00;53;200,00;470;20,00;4654;5,00;47611;2,00;20669;1,50
2020-12-04;330376;649995,00;0;0,00;0;20000,00;3;2.000,00;65;200,00;777;20,00;7852;5,00;77937;2,00;35582;1,50
2020-12-03;7382;28638,00;0;0,00;1;20000,00;0;2.000,00;3;200,00;25;20,00;378;5,00;3505;2,00;1467;1,50
2020-12-02;134646;253213,50;0;0,00;0;20000,00;1;2.000,00;29;200,00;315;20,00;3012;5,00;30362;2,00;13525;1,50
2020-12-01;165934;324325,50;0;0,00;0;20000,00;3;2.000,00;45;200,00;386;20,00;3844;5,00;38369;2,00;17773;1,50
2020-11-30;6865;26221,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;29;20,00;330;5,00;3004;2,00;1431;1,50
2020-11-29;5507;20028,00;0;0,00;0;20000,00;1;2.000,00;0;200,00;30;20,00;258;5,00;2363;2,00;1117;1,50
2020-11-28;205937;371427,00;0;0,00;0;20000,00;11;2.000,00;54;200,00;451;20,00;4541;5,00;44632;2,00;21343;1,50
2020-11-27;209938;399129,00;0;0,00;0;20000,00;4;2.000,00;47;200,00;495;20,00;4755;5,00;48253;2,00;23336;1,50
2020-11-26;7233;27672,00;0;0,00;0;20000,00;1;2.000,00;5;200,00;31;20,00;334;5,00;3236;2,00;1536;1,50
