Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2025-12-29;106479;579917.50;0;0.00;0;0.00;8;370.20;480;30.40;7482;4.50;42594;2.50
2025-12-25;94716;514490.00;0;0.00;0;0.00;10;523.50;388;34.10;6289;4.60;38325;2.50
2025-12-22;105085;573732.50;0;0.00;0;0.00;8;625.80;426;37.40;6802;5.40;40776;2.50
2025-12-18;98668;534742.50;0;0.00;0;0.00;17;325.80;574;24.30;7593;3.70;41969;2.50
2025-12-15;102403;553822.50;0;0.00;0;0.00;11;517.60;454;35.80;6496;5.00;40308;2.50
2025-12-11;104687;565907.50;0;0.00;0;0.00;9;557.20;523;36.20;7215;5.20;40610;2.50
2025-12-08;109505;590837.50;0;0.00;0;0.00;23;269.40;658;20.00;8723;3.30;46693;2.50
2025-12-04;107061;580047.50;0;0.00;0;0.00;13;809.00;488;47.00;6583;6.50;40007;2.50
2025-12-01;116275;634175.00;0;0.00;0;0.00;19;351.40;632;29.50;8400;4.50;46463;2.50
2025-11-27;104002;564922.50;0;0.00;0;0.00;14;622.30;466;39.60;6738;5.50;40341;2.50
2025-11-24;107379;582400.00;0;0.00;0;0.00;10;500.30;500;31.80;7228;4.70;41537;2.50
2025-11-20;102991;554072.50;0;0.00;0;0.00;15;482.10;461;30.90;7066;4.70;41597;2.50
2025-11-17;111186;602472.50;0;0.00;0;0.00;27;243.60;708;26.70;8141;4.50;44902;2.50
2025-11-13;103453;560335.00;0;0.00;1;120000.00;10;468.40;445;30.10;7129;4.20;41872;2.50
2025-11-10;114422;626782.50;0;0.00;0;0.00;23;293.70;734;27.90;8619;4.30;47235;2.50
2025-11-06;117862;655215.00;0;0.00;0;0.00;8;576.20;490;38.10;7468;5.30;46394;2.50
2025-11-03;119853;661452.50;0;0.00;0;0.00;18;451.20;615;30.20;8995;4.60;49447;2.50
2025-10-30;116353;655410.00;0;0.00;0;0.00;16;389.80;598;31.90;7976;5.00;46604;2.50
2025-10-27;122414;683217.50;0;0.00;0;0.00;17;535.30;636;34.00;9325;4.70;50866;2.50
2025-10-23;117551;655487.50;0;0.00;0;0.00;18;474.70;531;31.70;8280;4.70;48467;2.50
2025-10-20;126167;710350.00;0;0.00;0;0.00;14;471.70;568;34.40;8507;5.20;50290;2.50
2025-10-16;126465;722492.50;0;0.00;0;0.00;11;758.70;552;42.30;8541;5.70;51419;2.50
2025-10-13;140596;805455.00;0;0.00;0;0.00;21;412.00;796;28.60;10187;4.50;58830;2.50
2025-10-09;144112;842507.50;0;0.00;0;0.00;19;474.50;866;32.00;10948;4.80;62310;2.50
2025-10-06;153776;888825.00;0;0.00;0;0.00;18;668.10;678;44.70;10508;6.20;62843;2.50
2025-10-02;135043;784005.00;0;0.00;0;0.00;27;363.20;900;23.90;10913;3.90;60521;2.50
2025-09-29;85786;444195.00;0;0.00;0;0.00;4;132.30;323;44.50;5128;5.40;31068;2.50
2025-09-25;74337;375585.00;0;0.00;0;0.00;9;66.20;414;32.90;5355;4.50;28218;2.50
2025-09-22;74469;373337.50;0;0.00;0;0.00;15;80.50;344;39.30;4826;5.20;26871;2.50
2025-09-18;72796;364020.00;0;0.00;0;0.00;5;149.30;286;53.70;4091;6.90;24509;2.50
2025-09-15;76396;383667.50;0;0.00;0;0.00;5;83.70;361;33.00;4963;4.60;28194;2.50
2025-09-11;75302;379882.50;0;0.00;0;0.00;7;128.20;317;41.20;4901;5.00;27481;2.50
2025-09-08;79949;406077.50;0;0.00;0;0.00;10;102.20;355;36.10;5343;4.90;29944;2.50
2025-09-04;79839;403000.00;0;0.00;0;0.00;9;116.70;337;44.10;5145;5.40;29586;2.50
2025-09-01;84986;428047.50;0;0.00;0;0.00;7;162.80;272;58.40;4514;6.80;28847;2.50
2025-08-28;79479;402407.50;0;0.00;0;0.00;8;132.40;317;41.50;4982;4.80;30077;2.50
2025-08-25;78410;393952.50;0;0.00;0;0.00;4;191.80;304;52.60;4551;6.40;27381;2.50
2025-08-21;82711;416625.00;0;0.00;0;0.00;3;109.30;337;46.90;4692;5.90;29092;2.50
2025-08-18;81310;398815.00;0;0.00;0;0.00;9;151.80;295;64.50;4131;7.90;25503;2.50
2025-08-14;88693;446337.50;0;0.00;0;0.00;3;145.50;328;52.40;5033;6.00;31478;2.50
2025-08-11;89109;447432.50;0;0.00;1;120000.00;11;103.00;469;41.40;6105;5.20;33316;2.50
2025-08-07;84178;422377.50;0;0.00;0;0.00;11;108.30;357;42.60;5155;5.50;30054;2.50
2025-08-04;84643;424067.50;0;0.00;0;0.00;7;135.60;308;38.50;5446;4.60;31246;2.50
2025-07-31;79784;402692.50;0;0.00;0;0.00;12;86.50;384;38.20;5039;5.30;28654;2.50
2025-07-28;82555;413087.50;0;0.00;0;0.00;8;93.00;347;42.30;5013;5.50;30074;2.50
2025-07-24;81747;408450.00;0;0.00;0;0.00;4;135.50;326;47.20;4840;6.00;28823;2.50
2025-07-21;78507;387955.00;0;0.00;0;0.00;8;79.90;441;31.30;5485;4.50;29678;2.50
2025-07-17;82301;416030.00;0;0.00;0;0.00;15;81.80;422;37.50;5739;5.00;31403;2.50
2025-07-14;86048;432212.50;0;0.00;0;0.00;10;95.00;353;44.10;5270;5.60;30882;2.50
2025-07-10;78856;399320.00;0;0.00;0;0.00;14;103.70;377;33.20;5593;4.50;30781;2.50
