Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2025-07-07;74321;374490.00;1;7200000.00;0;0.00;10;74.80;345;34.30;4763;4.80;27266;2.50
2025-07-03;72486;368160.00;0;0.00;0;0.00;8;137.30;336;48.60;4374;5.90;26301;2.50
2025-06-30;75607;383277.50;0;0.00;0;0.00;8;146.00;311;47.00;4501;5.70;27217;2.50
2025-06-26;71768;362895.00;0;0.00;0;0.00;10;73.60;389;30.70;4927;4.20;27686;2.50
2025-06-23;73159;370692.50;0;0.00;0;0.00;8;94.70;348;40.60;4832;5.40;26859;2.50
2025-06-19;80591;403980.00;0;0.00;0;0.00;9;80.20;415;35.00;5325;4.60;29943;2.50
2025-06-16;95142;474652.50;0;0.00;0;0.00;11;87.10;433;40.20;5966;5.30;34117;2.50
2025-06-12;88788;445982.50;0;0.00;0;0.00;7;100.00;391;40.10;5556;5.30;32353;2.50
2025-06-09;92598;460570.00;0;0.00;0;0.00;18;68.80;508;31.60;6451;4.20;35443;2.50
2025-06-05;98382;499592.50;0;0.00;0;0.00;5;118.00;394;44.40;5976;5.60;35966;2.50
2025-06-02;99684;507232.50;0;0.00;0;0.00;14;84.00;484;38.20;6659;5.10;36919;2.50
2025-05-29;87704;441035.00;0;0.00;0;0.00;9;151.40;302;48.70;5056;5.70;31922;2.50
2025-05-26;92482;469172.50;0;0.00;0;0.00;11;119.20;382;44.90;5510;5.60;33177;2.50
2025-05-22;89238;451665.00;0;0.00;0;0.00;8;166.90;405;51.60;5264;6.50;31278;2.50
2025-05-19;89291;453660.00;0;0.00;0;0.00;6;129.10;368;51.30;5168;6.80;30488;2.50
2025-05-15;72731;368482.50;0;0.00;0;0.00;6;144.30;312;48.50;4346;6.30;25286;2.50
2025-05-12;75771;383575.00;0;0.00;0;0.00;14;90.20;387;40.00;4946;5.10;28188;2.50
2025-05-08;75926;385047.50;0;0.00;0;0.00;9;143.30;255;59.20;4109;6.80;26048;2.50
2025-05-05;81106;413007.50;0;0.00;0;0.00;11;102.50;320;40.20;4956;5.40;29569;2.50
2025-05-01;65419;317475.00;1;7200000.00;0;0.00;8;81.20;320;33.50;4071;4.80;23493;2.50
2025-04-28;78246;380655.00;0;0.00;0;0.00;3;102.90;305;48.00;4862;5.80;27190;2.50
2025-04-24;75127;367710.00;0;0.00;0;0.00;7;117.20;315;41.70;4621;5.10;27018;2.50
2025-04-21;72490;348007.50;0;0.00;0;0.00;5;181.60;207;61.90;3799;7.20;23374;2.50
2025-04-17;77055;374095.00;0;0.00;0;0.00;6;99.00;271;41.60;4504;5.60;26583;2.50
2025-04-14;82301;392062.50;0;0.00;0;0.00;11;94.50;389;40.70;5075;5.40;28840;2.50
2025-04-10;86399;406125.00;0;0.00;0;0.00;9;71.40;317;38.10;4745;5.40;28535;2.50
2025-04-07;91536;427260.00;0;0.00;1;120000.00;9;87.30;367;38.00;5334;4.70;31371;2.50
2025-04-03;83661;410200.00;0;0.00;0;0.00;14;76.20;344;31.50;5040;4.50;29153;2.50
2025-03-31;90608;462590.00;0;0.00;0;0.00;8;119.90;384;49.40;5854;6.10;32984;2.50
2025-03-27;81643;421027.50;0;0.00;0;0.00;7;97.40;384;40.40;5358;5.40;30817;2.50
2025-03-24;78508;404005.00;0;0.00;0;0.00;8;124.80;358;44.70;5299;5.30;30455;2.50
2025-03-20;76376;389357.50;0;0.00;0;0.00;6;149.60;285;51.20;4302;6.30;26687;2.50
2025-03-17;81410;413890.00;0;0.00;0;0.00;9;137.10;356;46.60;4923;5.80;29406;2.50
2025-03-13;80405;405925.00;0;0.00;0;0.00;11;92.20;378;36.30;5386;4.80;29931;2.50
2025-03-10;93488;459967.50;0;0.00;0;0.00;11;102.10;399;45.30;5619;5.50;33345;2.50
2025-03-06;70862;359352.50;0;0.00;0;0.00;9;81.50;304;39.20;4439;5.10;26041;2.50
2025-03-03;72556;369535.00;0;0.00;0;0.00;10;101.30;342;41.90;4750;5.30;27635;2.50
2025-02-27;76056;389937.50;0;0.00;0;0.00;7;159.60;253;65.70;3929;7.60;25638;2.50
2025-02-24;68251;347255.00;0;0.00;0;0.00;5;156.50;243;53.30;4003;6.60;23789;2.50
2025-02-20;67560;342622.50;0;0.00;0;0.00;7;82.70;343;35.90;4576;4.80;25168;2.50
2025-02-17;70490;356562.50;0;0.00;0;0.00;13;129.10;245;53.00;3988;6.30;24926;2.50
2025-02-13;65845;334445.00;0;0.00;0;0.00;2;153.50;239;51.90;3678;6.20;23298;2.50
2025-02-10;67693;344232.50;0;0.00;0;0.00;6;113.10;336;50.70;4044;6.30;24487;2.50
2025-02-06;67243;343532.50;0;0.00;0;0.00;10;95.80;313;40.70;4392;5.20;25099;2.50
2025-02-03;68988;351950.00;0;0.00;0;0.00;7;110.10;311;36.80;4551;4.80;26416;2.50
2025-01-30;68109;348590.00;0;0.00;0;0.00;8;136.70;261;52.80;4145;6.30;24720;2.50
2025-01-27;81879;408890.00;0;0.00;0;0.00;9;93.10;409;37.20;5183;5.00;29998;2.50
2025-01-23;74458;372735.00;0;0.00;0;0.00;10;97.80;347;35.80;4915;4.60;27471;2.50
2025-01-20;83134;414690.00;0;0.00;0;0.00;7;108.70;363;41.40;5136;5.20;30347;2.50
2025-01-16;74066;373927.50;0;0.00;0;0.00;11;87.70;364;38.30;4967;5.20;27351;2.50
2025-01-13;78248;396297.50;0;0.00;0;0.00;8;115.00;336;37.90;4883;4.90;29445;2.50
2025-01-09;71759;363195.00;0;0.00;0;0.00;16;92.60;373;39.30;4913;5.20;26964;2.50
2025-01-06;78029;399627.50;0;0.00;0;0.00;4;135.60;306;46.20;4842;5.90;27644;2.50
2025-01-02;78357;406060.00;0;0.00;0;0.00;13;118.40;300;45.60;4715;5.80;28119;2.50
